Time,H,dT
1958-02-10 09:08:00,16027.186406785808,-10277.295379259358
1958-02-10 09:08:20,16027.32446439575,-10260.321955013316
1958-02-10 09:08:40,16027.462522005691,-10243.348530767276
1958-02-10 09:09:00,16027.600579615633,-10226.375106521235
1958-02-10 09:09:20,16027.738637225575,-10209.401682275193
1958-02-10 09:09:40,16027.876694835517,-10192.428258029153
1958-02-10 09:10:00,16028.014752445459,-10175.454833783111
1958-02-10 09:10:20,16028.152810055399,-10158.48140953707
1958-02-10 09:10:40,16028.29086766534,-10141.507985291028
1958-02-10 09:11:00,16028.428925275282,-10124.534561044988
1958-02-10 09:11:20,16028.566982885224,-10107.561136798946
1958-02-10 09:11:40,16028.705040495166,-10090.587712552904
1958-02-10 09:12:00,16028.843098105108,-10073.614288306864
1958-02-10 09:12:20,16028.98115571505,-10056.640864060822
1958-02-10 09:12:40,16029.119213324992,-10039.66743981478
1958-02-10 09:13:00,16029.138249618827,-10020.00000040532
1958-02-10 09:13:20,16029.142593419152,-10000.000000395765
1958-02-10 09:13:40,16029.146937219475,-9980.000000386211
1958-02-10 09:14:00,16029.1512810198,-9960.000000376658
1958-02-10 09:14:20,16029.155624820123,-9940.000000367103
1958-02-10 09:14:40,16029.159968620448,-9920.00000035755
1958-02-10 09:15:00,16029.164312420773,-9900.000000347996
1958-02-10 09:15:20,16029.168656221096,-9880.000000338441
1958-02-10 09:15:40,16029.173000021421,-9860.000000328888
1958-02-10 09:16:00,16029.177343821744,-9840.000000319335
1958-02-10 09:16:20,16029.18168762207,-9820.00000030978
1958-02-10 09:16:40,16029.186031422394,-9800.000000300226
1958-02-10 09:17:00,16029.190375222717,-9780.000000290673
1958-02-10 09:17:20,16029.194719023042,-9760.000000281118
1958-02-10 09:17:40,16029.199062823365,-9740.000000271564
1958-02-10 09:18:00,16029.20340662369,-9720.00000026201
1958-02-10 09:18:20,16029.207750424013,-9700.000000252456
1958-02-10 09:18:40,16029.212094224338,-9680.000000242902
1958-02-10 09:19:00,16029.216438024661,-9660.000000233347
1958-02-10 09:19:20,16029.220781824986,-9640.000000223794
1958-02-10 09:19:40,16029.225125625311,-9620.00000021424
1958-02-10 09:20:00,16029.229469425634,-9600.000000204685
1958-02-10 09:20:20,16029.23381322596,-9580.000000195132
1958-02-10 09:20:40,16029.238157026282,-9560.000000185579
1958-02-10 09:21:00,16029.258448240302,-9540.000000152513
1958-02-10 09:21:20,16029.285226144113,-9520.000000109885
1958-02-10 09:21:40,16029.312004047924,-9500.000000067259
1958-02-10 09:22:00,16029.338781951734,-9480.000000024631
1958-02-10 09:22:20,16029.365559855545,-9459.999999982003
1958-02-10 09:22:40,16029.392337759356,-9439.999999939375
1958-02-10 09:23:00,16029.419115663168,-9419.999999896747
1958-02-10 09:23:20,16029.445893566979,-9399.999999854119
1958-02-10 09:23:40,16029.47267147079,-9379.99999981149
1958-02-10 09:24:00,16029.499449374602,-9359.999999768865
1958-02-10 09:24:20,16029.526227278413,-9339.999999726237
1958-02-10 09:24:40,16029.553005182224,-9319.999999683609
1958-02-10 09:25:00,16029.608510392967,-9299.99999970709
1958-02-10 09:25:20,16029.680340138593,-9279.99999976814
1958-02-10 09:25:40,16029.752169884217,-9259.99999982919
1958-02-10 09:26:00,16029.823999629842,-9239.999999890239
1958-02-10 09:26:20,16029.895829375468,-9219.999999951287
1958-02-10 09:26:40,16029.967659121092,-9200.000000012336
1958-02-10 09:27:00,16030.039488866716,-9180.000000073387
1958-02-10 09:27:20,16030.111318612342,-9160.000000134436
1958-02-10 09:27:40,16030.183148357966,-9140.000000195485
1958-02-10 09:28:00,16030.25497810359,-9120.000000256534
1958-02-10 09:28:20,16030.326807849215,-9100.000000317585
1958-02-10 09:28:40,16030.39863759484,-9080.000000378634
1958-02-10 09:29:00,16030.389925964872,-9060.000000404063
1958-02-10 09:29:20,16030.326912469354,-9040.000000405476
1958-02-10 09:29:40,16030.263898973837,-9020.000000406892
1958-02-10 09:30:00,16030.20088547832,-9000.000000408305
1958-02-10 09:30:20,16030.137871982803,-8980.00000040972
1958-02-10 09:30:40,16030.074858487285,-8960.000000411133
1958-02-10 09:31:00,16030.011844991768,-8940.000000412549
1958-02-10 09:31:20,16029.948831496251,-8920.000000413962
1958-02-10 09:31:40,16029.885818000734,-8900.000000415377
1958-02-10 09:32:00,16029.822804505216,-8880.00000041679
1958-02-10 09:32:20,16029.7597910097,-8860.000000418206
1958-02-10 09:32:40,16029.645419251749,-8840.000000419795
1958-02-10 09:33:00,16029.10858344936,-8820.000000422839
1958-02-10 09:33:20,16028.571747646973,-8800.00000042588
1958-02-10 09:33:40,16028.034911844585,-8780.000000428923
1958-02-10 09:34:00,16027.498076042197,-8760.000000431966
1958-02-10 09:34:20,16026.96124023981,-8740.000000435008
1958-02-10 09:34:40,16026.424404437423,-8720.00000043805
1958-02-10 09:35:00,16025.887568635035,-8700.000000441094
1958-02-10 09:35:20,16025.350732832647,-8680.000000444135
1958-02-10 09:35:40,16024.813897030259,-8660.000000447179
