Time,Z,dT
1958-02-10 09:41:00,44887.051801699636,-8316.640271622098
1958-02-10 09:41:20,44887.104917922974,-8297.379446861089
1958-02-10 09:41:40,44887.158034146305,-8278.118622100079
1958-02-10 09:42:00,44887.21115036964,-8258.857797339071
1958-02-10 09:42:20,44887.264266592974,-8239.596972578061
1958-02-10 09:42:40,44887.31738281631,-8220.336147817052
1958-02-10 09:43:00,44887.37049903964,-8201.075323056042
1958-02-10 09:43:20,44887.42361526298,-8181.814498295034
1958-02-10 09:43:40,44887.47673148631,-8162.553673534025
1958-02-10 09:44:00,44887.52984770965,-8143.292848773015
1958-02-10 09:44:20,44887.58296393298,-8124.032024012006
1958-02-10 09:44:40,44887.63608015632,-8104.771199250997
1958-02-10 09:45:00,44887.68919637965,-8085.510374489988
1958-02-10 09:45:20,44887.74231260299,-8066.249549728978
1958-02-10 09:45:40,44887.79542882632,-8046.98872496797
1958-02-10 09:46:00,44887.84854504966,-8027.727900206961
1958-02-10 09:46:20,44887.90166127299,-8008.467075445951
1958-02-10 09:46:40,44887.95477749633,-7989.206250684942
1958-02-10 09:47:00,44888.00789371966,-7969.945425923933
1958-02-10 09:47:20,44888.061009943,-7950.684601162924
1958-02-10 09:47:40,44888.11412616633,-7931.423776401914
1958-02-10 09:48:00,44888.16724238967,-7912.162951640905
1958-02-10 09:48:20,44888.220358613,-7892.902126879896
1958-02-10 09:48:40,44888.27347483634,-7873.641302118886
1958-02-10 09:49:00,44888.32659105967,-7854.380477357878
1958-02-10 09:49:20,44888.379707283006,-7835.119652596868
1958-02-10 09:49:40,44888.43282350634,-7815.858827835859
1958-02-10 09:50:00,44888.485939729675,-7796.598003074851
1958-02-10 09:50:20,44888.539055953006,-7777.337178313841
1958-02-10 09:50:40,44888.592172176344,-7758.076353552831
1958-02-10 09:51:00,44888.645288399675,-7738.8155287918225
1958-02-10 09:51:20,44888.69840462301,-7719.554704030814
1958-02-10 09:51:40,44888.76751239828,-7699.999999640805
