Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2024-05-10T00:00:00,60,CNB,150.70,-34.10,10.64,133.54,1.67,58.43,-2.1,-7.4,3.9,2.1,7.4,3.9
2024-05-10T00:00:00,60,CTA,146.30,-20.10,10.13,118.92,1.64,49.64,9.4,-6.9,3.2,-9.4,6.9,3.2
2024-05-10T00:00:00,60,GUA,144.87,13.59,9.84,84.36,1.63,33.17,35.4,17.5,-12.7,-35.4,-17.5,-12.7
2024-05-10T00:00:00,60,KAK,140.18,36.23,9.58,60.88,1.19,38.97,20.4,25.4,-6.5,20.4,25.4,-6.5
2024-05-10T00:01:00,60,CNB,150.70,-34.10,10.66,133.54,1.68,58.32,-2.7,-7.2,3.8,7.2,-2.7,3.8
2024-05-10T00:01:00,60,CTA,146.30,-20.10,10.15,118.92,1.65,49.49,9.1,-6.7,3.2,-9.1,6.7,3.2
2024-05-10T00:01:00,60,GUA,144.87,13.59,9.86,84.36,1.64,32.94,34.8,17.5,-12.5,-34.8,-17.5,-12.5
2024-05-10T00:01:00,60,KAK,140.18,36.23,9.60,60.88,1.19,38.77,20.2,25.2,-6.9,20.2,25.2,-6.9
2024-05-10T00:02:00,60,CNB,150.70,-34.10,10.68,133.54,1.70,58.21,-3.2,-7.4,3.7,7.4,-3.2,3.7
2024-05-10T00:02:00,60,CTA,146.30,-20.10,10.17,118.92,1.67,49.33,8.8,-6.7,3.2,-8.8,6.7,3.2
2024-05-10T00:02:00,60,GUA,144.87,13.59,9.88,84.36,1.65,32.70,34.5,17.6,-12.5,-34.5,-17.6,-12.5
2024-05-10T00:02:00,60,KAK,140.18,36.23,9.61,60.88,1.20,38.58,20.0,24.8,-6.9,20.0,24.8,-6.9
2024-05-10T00:03:00,60,CNB,150.70,-34.10,10.69,133.54,1.72,58.11,-3.3,-7.8,3.8,7.8,-3.3,3.8
