"Timestamp","TZ","V_(S2)_OXF (1S) (V)","I_(S2)_OXF (1S) (mA)","Calculation (watts)"
2024/05/16 23:45:05.040,n,-209.05334,-600.7748,125.59398
2024/05/16 23:45:10.002,n,-209.14416,-600.69812,125.63252
2024/05/16 23:45:15.000,n,-209.19836,-600.69812,125.66506
2024/05/16 23:45:20.006,n,-209.05334,-600.67908,125.57398
2024/05/16 23:45:25.000,n,-209.76136,-600.641,125.99126
2024/05/16 23:45:30.009,n,-209.39808,-600.67908,125.78104
2024/05/16 23:45:35.002,n,-209.23498,-600.67908,125.68308
2024/05/16 23:45:40.000,n,-208.99866,-600.71764,125.54918
2024/05/16 23:45:45.055,n,-209.54358,-600.62196,125.85648
2024/05/16 23:45:50.000,n,-209.0719,-600.67908,125.58512
2024/05/16 23:45:55.008,n,-209.3258,-600.641,125.72966
2024/05/16 23:46:00.001,n,-209.19836,-600.641,125.65312
2024/05/16 23:46:05.078,n,-209.3805,-600.69812,125.77448
2024/05/16 23:46:10.050,n,-209.23498,-600.60292,125.66714
2024/05/16 23:46:15.000,n,-209.6344,-600.66052,125.91912
2024/05/16 23:46:20.008,n,-209.28968,-600.67908,125.71594
2024/05/16 23:46:25.001,n,-209.4347,-600.66052,125.79916
2024/05/16 23:46:30.085,n,-209.14416,-600.67908,125.62852
2024/05/16 23:46:35.004,n,-209.61584,-600.67908,125.91186
2024/05/16 23:46:40.000,n,-209.90638,-600.69812,126.09036
2024/05/16 23:46:45.007,n,-209.5802,-600.67908,125.89044
2024/05/16 23:46:50.000,n,-209.08996,-600.69812,125.59996
2024/05/16 23:46:55.011,n,-209.50696,-600.66052,125.84256
2024/05/16 23:47:00.003,n,-209.45276,-600.69812,125.81788
2024/05/16 23:47:05.000,n,-209.18078,-600.73668,125.66258
2024/05/16 23:47:10.007,n,-209.16272,-600.71764,125.64774
2024/05/16 23:47:15.000,n,-209.16272,-600.67908,125.63968
2024/05/16 23:47:20.010,n,-209.50696,-600.67908,125.84644
2024/05/16 23:47:25.003,n,-209.52502,-600.69812,125.8613
2024/05/16 23:47:30.000,n,-209.4347,-600.641,125.79506
2024/05/16 23:47:35.006,n,-209.03528,-600.641,125.55516
2024/05/16 23:47:40.221,n,-209.1261,-600.66052,125.6138
2024/05/16 23:47:45.200,n,-209.3805,-600.60292,125.75454
2024/05/16 23:47:50.002,n,-209.3258,-600.66052,125.73376
2024/05/16 23:47:55.021,n,-209.4347,-600.641,125.79506
2024/05/16 23:48:00.006,n,-209.41614,-600.66052,125.78802
2024/05/16 23:48:05.147,n,-208.78138,-600.66052,125.40672
2024/05/16 23:48:10.009,n,-209.59826,-600.62196,125.88932
2024/05/16 23:48:15.002,n,-209.47082,-600.66052,125.82086
2024/05/16 23:48:20.000,n,-208.89026,-600.69812,125.48
2024/05/16 23:48:25.005,n,-209.14416,-600.67908,125.62852
2024/05/16 23:48:30.000,n,-209.16272,-600.67908,125.63968
2024/05/16 23:48:35.008,n,-209.45276,-600.66052,125.81
2024/05/16 23:48:40.002,n,-209.1261,-600.641,125.60972
2024/05/16 23:48:45.012,n,-209.23498,-600.67908,125.68308
2024/05/16 23:48:50.005,n,-209.25306,-600.67908,125.69394
2024/05/16 23:48:55.000,n,-209.14416,-600.66052,125.62464
2024/05/16 23:49:00.008,n,-209.05334,-600.62196,125.56204
2024/05/16 23:49:05.003,n,-209.10754,-600.67908,125.60652
2024/05/16 23:49:10.011,n,-209.1261,-600.67908,125.61768
2024/05/16 23:49:15.004,n,-209.2174,-600.641,125.66456
2024/05/16 23:49:20.000,n,-209.30726,-600.60292,125.71056
2024/05/16 23:49:25.058,n,-209.36194,-600.62196,125.74738
2024/05/16 23:49:30.002,n,-209.45276,-600.641,125.80592
2024/05/16 23:49:35.028,n,-209.08996,-600.60292,125.58004
2024/05/16 23:49:40.005,n,-209.36194,-600.66052,125.75546
2024/05/16 23:49:45.000,n,-208.99866,-600.69812,125.5451
2024/05/16 23:49:50.008,n,-209.34388,-600.641,125.74052
2024/05/16 23:49:55.001,n,-209.2716,-600.641,125.6971
2024/05/16 23:50:00.011,n,-209.39808,-600.69812,125.78504
2024/05/16 23:50:05.006,n,-209.3805,-600.66052,125.7666
2024/05/16 23:50:10.000,n,-209.10754,-600.62196,125.59458
2024/05/16 23:50:15.007,n,-209.0719,-600.60292,125.5692
2024/05/16 23:50:20.001,n,-209.05334,-600.62196,125.56204
2024/05/16 23:50:25.010,n,-209.01722,-600.71764,125.56034
2024/05/16 23:50:30.004,n,-209.76136,-600.67908,125.99926
2024/05/16 23:50:35.000,n,-209.34388,-600.62196,125.73654
2024/05/16 23:50:40.176,n,-208.8722,-600.62196,125.45322
2024/05/16 23:50:45.000,n,-209.3258,-600.66052,125.73376
2024/05/16 23:50:50.011,n,-208.89026,-600.60292,125.4601
2024/05/16 23:50:55.003,n,-209.5802,-600.66052,125.88656
2024/05/16 23:51:00.013,n,-209.47082,-600.67908,125.82476
2024/05/16 23:51:05.013,n,-209.36194,-600.641,125.75136
2024/05/16 23:51:10.000,n,-209.14416,-600.67908,125.62852
2024/05/16 23:51:15.010,n,-209.45276,-600.60292,125.79794
2024/05/16 23:51:20.003,n,-209.41614,-600.66052,125.78802
2024/05/16 23:51:25.178,n,-209.2174,-600.58336,125.6525
2024/05/16 23:51:30.123,n,-209.50696,-600.69812,125.85044
2024/05/16 23:51:35.000,n,-209.19836,-600.66052,125.6572
2024/05/16 23:51:40.009,n,-209.34388,-600.67908,125.74848
2024/05/16 23:51:45.003,n,-208.98108,-600.66052,125.5267
2024/05/16 23:51:50.012,n,-209.14416,-600.67908,125.62852
2024/05/16 23:51:55.005,n,-209.05334,-600.66052,125.5701
2024/05/16 23:52:00.000,n,-209.2716,-600.60292,125.68914
2024/05/16 23:52:05.009,n,-209.3258,-600.66052,125.73376
2024/05/16 23:52:10.002,n,-209.10754,-600.641,125.59856
2024/05/16 23:52:15.115,n,-209.01722,-600.58336,125.53226
2024/05/16 23:52:20.005,n,-209.36194,-600.5648,125.73542
2024/05/16 23:52:25.000,n,-209.0719,-600.60292,125.5692
2024/05/16 23:52:30.009,n,-209.52502,-600.62196,125.84534
2024/05/16 23:52:35.001,n,-209.39808,-600.58336,125.761
2024/05/16 23:52:40.011,n,-209.45276,-600.66052,125.81
2024/05/16 23:52:45.005,n,-209.18078,-600.641,125.64256
2024/05/16 23:52:50.000,n,-209.2174,-600.67908,125.67252
2024/05/16 23:52:55.007,n,-209.47082,-600.641,125.81676
2024/05/16 23:53:00.001,n,-209.05334,-600.62196,125.56204
2024/05/16 23:53:05.011,n,-209.23498,-600.69812,125.68708
2024/05/16 23:53:10.004,n,-209.39808,-600.66052,125.77716
2024/05/16 23:53:15.014,n,-209.50696,-600.62196,125.83448
2024/05/16 23:53:20.013,n,-208.98108,-600.641,125.5226
2024/05/16 23:53:25.001,n,-209.23498,-600.66052,125.6792
2024/05/16 23:53:30.028,n,-209.4347,-600.641,125.79506
2024/05/16 23:53:35.004,n,-209.54358,-600.60292,125.8525
2024/05/16 23:53:40.013,n,-208.96302,-600.60292,125.5038
2024/05/16 23:53:45.007,n,-209.30726,-600.66052,125.7226
2024/05/16 23:53:50.000,n,-209.41614,-600.62196,125.77994
2024/05/16 23:53:55.043,n,-208.96302,-600.5648,125.49584
2024/05/16 23:54:00.003,n,-209.16272,-600.62196,125.62772
2024/05/16 23:54:05.129,n,-209.3805,-600.62196,125.75852
2024/05/16 23:54:10.072,n,-209.2716,-600.58336,125.68504
2024/05/16 23:54:15.000,n,-209.3805,-600.54576,125.74258
2024/05/16 23:54:20.009,n,-208.99866,-600.60292,125.5252
2024/05/16 23:54:25.002,n,-209.3258,-600.62196,125.72568
2024/05/16 23:54:30.012,n,-209.10754,-600.58336,125.58652
2024/05/16 23:54:35.006,n,-209.0719,-600.60292,125.5692
2024/05/16 23:54:40.004,n,-209.08996,-600.5648,125.57208
2024/05/16 23:54:45.009,n,-209.28968,-600.58336,125.6959
2024/05/16 23:54:50.118,n,-209.23498,-600.5648,125.65918
2024/05/16 23:54:55.012,n,-209.01722,-600.60292,125.53636
2024/05/16 23:55:00.006,n,-209.41614,-600.62196,125.77994
2024/05/16 23:55:05.000,n,-209.3805,-600.58336,125.75044
2024/05/16 23:55:10.009,n,-209.3258,-600.5072,125.70166
2024/05/16 23:55:15.002,n,-209.36194,-600.5648,125.73542
2024/05/16 23:55:20.012,n,-209.05334,-600.58336,125.55396
2024/05/16 23:55:25.139,n,-209.4347,-600.60292,125.7871
2024/05/16 23:55:30.062,n,-209.10754,-600.5072,125.5706
2024/05/16 23:55:35.098,n,-209.30726,-600.5648,125.70258
2024/05/16 23:55:40.001,n,-209.25306,-600.52624,125.66196
2024/05/16 23:55:45.011,n,-209.14416,-600.60292,125.6126
2024/05/16 23:55:50.004,n,-209.34388,-600.62196,125.73654
2024/05/16 23:55:55.015,n,-208.9264,-600.62196,125.48578
2024/05/16 23:56:00.007,n,-209.05334,-600.60292,125.55804
2024/05/16 23:56:05.001,n,-208.98108,-600.54576,125.5027
2024/05/16 23:56:10.011,n,-209.14416,-600.5648,125.60462
2024/05/16 23:56:15.004,n,-209.1261,-600.54576,125.5898
2024/05/16 23:56:20.013,n,-209.16272,-600.58336,125.61966
2024/05/16 23:56:25.007,n,-209.01722,-600.60292,125.53636
2024/05/16 23:56:30.000,n,-209.56164,-600.58336,125.85926
2024/05/16 23:56:35.011,n,-209.36194,-600.5648,125.73542
2024/05/16 23:56:40.004,n,-209.45276,-600.62196,125.80194
2024/05/16 23:56:45.088,n,-209.34388,-600.60292,125.73254
2024/05/16 23:56:50.007,n,-209.1261,-600.58336,125.59766
2024/05/16 23:56:55.000,n,-209.01722,-600.58336,125.53226
2024/05/16 23:57:00.142,n,-209.0719,-600.58336,125.56512
2024/05/16 23:57:05.092,n,-208.94446,-600.60292,125.49266
2024/05/16 23:57:10.014,n,-209.28968,-600.48816,125.67598
2024/05/16 23:57:15.006,n,-209.05334,-600.5648,125.5501
2024/05/16 23:57:20.000,n,-209.36194,-600.5648,125.73542
2024/05/16 23:57:25.109,n,-208.9264,-600.48816,125.45782
2024/05/16 23:57:30.070,n,-209.34388,-600.4696,125.70464
2024/05/16 23:57:35.012,n,-209.08996,-600.60292,125.58004
2024/05/16 23:57:40.005,n,-208.98108,-600.5648,125.5067
2024/05/16 23:57:45.015,n,-209.3258,-600.54576,125.70972
2024/05/16 23:57:50.008,n,-209.28968,-600.5072,125.67996
2024/05/16 23:57:55.002,n,-208.96302,-600.54576,125.49186
2024/05/16 23:58:00.011,n,-209.08996,-600.5648,125.57208
2024/05/16 23:58:05.005,n,-208.72668,-600.52624,125.34586
2024/05/16 23:58:10.015,n,-208.98108,-600.62196,125.51862
2024/05/16 23:58:15.008,n,-209.4347,-600.60292,125.7871
2024/05/16 23:58:20.017,n,-208.85412,-600.5648,125.43044
2024/05/16 23:58:25.011,n,-209.16272,-600.52624,125.6077
2024/05/16 23:58:30.004,n,-209.0719,-600.58336,125.56512
2024/05/16 23:58:35.015,n,-209.0719,-600.5648,125.56124
2024/05/16 23:58:40.009,n,-209.1261,-600.5072,125.58174
2024/05/16 23:58:45.001,n,-209.03528,-600.54576,125.53526
2024/05/16 23:58:50.011,n,-208.69104,-600.41148,125.3005
2024/05/16 23:58:55.004,n,-209.18078,-600.41148,125.59454
2024/05/16 23:59:00.014,n,-209.18078,-600.54576,125.62264
2024/05/16 23:59:05.007,n,-208.90882,-600.5648,125.46328
