"Timestamp","TZ","V_(S1)_PAD (1S) (V)","I_(S1)_PAD (1S) (mA)"
2024/05/12 23:45:05.014,n,-3986.5612,-600.99256
2024/05/12 23:45:10.007,n,-3986.7708,-601.03112
2024/05/12 23:45:15.001,n,-3986.1528,-601.03112
2024/05/12 23:45:20.010,n,-3985.9488,-600.99256
2024/05/12 23:45:25.003,n,-3986.1528,-600.93492
2024/05/12 23:45:30.013,n,-3984.9224,-600.97304
2024/05/12 23:45:35.162,n,-3986.3568,-601.0116
2024/05/12 23:45:40.000,n,-3986.9748,-601.05016
2024/05/12 23:45:45.000,n,-3986.5612,-601.10828
2024/05/12 23:45:50.003,n,-3986.9748,-600.99256
2024/05/12 23:45:55.013,n,-3986.1528,-600.97304
2024/05/12 23:46:00.006,n,-3986.3568,-600.93492
2024/05/12 23:46:05.000,n,-3985.7392,-601.06972
2024/05/12 23:46:10.009,n,-3985.7392,-601.06972
2024/05/12 23:46:15.002,n,-3985.5404,-601.0116
2024/05/12 23:46:20.012,n,-3985.7392,-600.93492
2024/05/12 23:46:25.025,n,-3983.2784,-600.95396
2024/05/12 23:46:30.015,n,-3985.1212,-601.03112
2024/05/12 23:46:35.008,n,-3985.1212,-601.06972
2024/05/12 23:46:40.001,n,-3985.5404,-601.0116
2024/05/12 23:46:45.012,n,-3985.1212,-601.0116
2024/05/12 23:46:50.005,n,-3986.3568,-600.99256
2024/05/12 23:46:55.019,n,-3985.9488,-601.03112
2024/05/12 23:47:00.008,n,-3983.8964,-601.0116
2024/05/12 23:47:05.001,n,-3977.1156,-601.14636
2024/05/12 23:47:10.011,n,-3985.5404,-601.03112
2024/05/12 23:47:15.004,n,-3985.1212,-600.97304
2024/05/12 23:47:20.014,n,-3985.5404,-601.06972
2024/05/12 23:47:25.007,n,-3985.7392,-601.03112
2024/05/12 23:47:30.000,n,-3986.3568,-601.06972
2024/05/12 23:47:35.010,n,-3985.9488,-601.05016
2024/05/12 23:47:40.004,n,-3985.5404,-601.06972
2024/05/12 23:47:45.013,n,-3986.3568,-601.06972
2024/05/12 23:47:50.007,n,-3986.3568,-601.06972
2024/05/12 23:47:55.000,n,-3985.7392,-601.06972
2024/05/12 23:48:00.010,n,-3985.7392,-600.97304
2024/05/12 23:48:05.003,n,-3985.3308,-601.03112
2024/05/12 23:48:10.063,n,-3985.7392,-600.99256
2024/05/12 23:48:15.007,n,-3986.3568,-600.95396
2024/05/12 23:48:20.000,n,-3985.1212,-601.03112
2024/05/12 23:48:25.010,n,-3985.5404,-601.0116
2024/05/12 23:48:30.046,n,-3986.1528,-600.97304
2024/05/12 23:48:35.012,n,-3986.1528,-601.03112
2024/05/12 23:48:40.006,n,-3985.5404,-600.97304
2024/05/12 23:48:45.017,n,-3986.5612,-600.99256
2024/05/12 23:48:50.009,n,-3985.5404,-601.0116
2024/05/12 23:48:55.002,n,-3985.9488,-600.93492
2024/05/12 23:49:00.000,n,-3977.3256,-601.06972
2024/05/12 23:49:05.006,n,-3986.1528,-601.0116
2024/05/12 23:49:10.015,n,-3985.1212,-600.95396
2024/05/12 23:49:15.008,n,-3985.7392,-600.95396
2024/05/12 23:49:20.001,n,-3985.9488,-601.0116
2024/05/12 23:49:25.011,n,-3985.1212,-601.05016
2024/05/12 23:49:30.005,n,-3985.9488,-601.05016
2024/05/12 23:49:35.084,n,-3981.43,-601.03112
2024/05/12 23:49:40.008,n,-3985.5404,-601.03112
2024/05/12 23:49:45.021,n,-3984.9224,-601.05016
2024/05/12 23:49:50.011,n,-3985.1212,-601.06972
2024/05/12 23:49:55.004,n,-3984.3048,-601.10828
2024/05/12 23:50:00.014,n,-3985.7392,-600.99256
2024/05/12 23:50:05.007,n,-3984.3048,-600.95396
2024/05/12 23:50:10.000,n,-3985.1212,-600.99256
2024/05/12 23:50:15.010,n,-3984.3048,-601.10828
2024/05/12 23:50:20.004,n,-3985.3308,-601.03112
2024/05/12 23:50:25.013,n,-3985.9488,-601.08876
2024/05/12 23:50:30.006,n,-3984.9224,-600.99256
2024/05/12 23:50:35.000,n,-3985.3308,-601.0116
2024/05/12 23:50:40.010,n,-3985.5404,-600.99256
2024/05/12 23:50:45.003,n,-3985.3308,-601.0116
2024/05/12 23:50:50.013,n,-3984.9224,-601.0116
2024/05/12 23:50:55.006,n,-3985.9488,-601.05016
2024/05/12 23:51:00.016,n,-3984.7128,-600.99256
2024/05/12 23:51:05.009,n,-3985.3308,-601.05016
2024/05/12 23:51:10.080,n,-3984.514,-600.99256
2024/05/12 23:51:15.163,n,-3982.87,-600.99256
2024/05/12 23:51:20.006,n,-3984.9224,-600.9154
2024/05/12 23:51:25.015,n,-3984.7128,-600.99256
2024/05/12 23:51:30.009,n,-3984.7128,-601.03112
2024/05/12 23:51:35.003,n,-3984.0948,-601.0116
2024/05/12 23:51:40.049,n,-3984.7128,-601.03112
2024/05/12 23:51:45.005,n,-3984.9224,-601.08876
2024/05/12 23:51:50.000,n,-3983.6868,-600.97304
2024/05/12 23:51:55.051,n,-3983.8964,-601.0116
2024/05/12 23:52:00.001,n,-3984.0948,-600.97304
2024/05/12 23:52:05.011,n,-3983.8964,-600.93492
2024/05/12 23:52:10.101,n,-3985.5404,-600.97304
2024/05/12 23:52:15.086,n,-3981.6344,-601.03112
2024/05/12 23:52:20.000,n,-3985.3308,-600.97304
2024/05/12 23:52:25.001,n,-3985.1212,-600.99256
2024/05/12 23:52:30.011,n,-3985.5404,-601.0116
2024/05/12 23:52:35.000,n,-3984.9224,-601.05016
2024/05/12 23:52:40.000,n,-3985.5404,-600.97304
2024/05/12 23:52:45.008,n,-3985.5404,-601.0116
2024/05/12 23:52:50.001,n,-3985.3308,-601.03112
2024/05/12 23:52:55.000,n,-3984.9224,-600.97304
2024/05/12 23:53:00.000,n,-3985.7392,-600.89636
2024/05/12 23:53:05.000,n,-3982.87,-600.97304
2024/05/12 23:53:10.000,n,-3985.3308,-601.03112
2024/05/12 23:53:15.000,n,-3976.7076,-601.06972
2024/05/12 23:53:20.000,n,-3984.9224,-600.99256
2024/05/12 23:53:25.000,n,-3984.514,-601.05016
2024/05/12 23:53:30.000,n,-3984.7128,-601.05016
2024/05/12 23:53:35.006,n,-3985.1212,-600.95396
2024/05/12 23:53:40.000,n,-3984.514,-600.95396
