"Timestamp","TZ","V_S6_TNG (V)","I_S6_TNG (mA)"
2024/10/11 23:45:05.007,n,2443.7346,868.73256
2024/10/11 23:45:10.000,n,2443.8802,868.68584
2024/10/11 23:45:15.000,n,2444.404,868.65488
2024/10/11 23:45:20.084,n,2443.5018,868.68584
2024/10/11 23:45:25.000,n,2444.549,868.71728
2024/10/11 23:45:30.004,n,2443.0944,868.68584
2024/10/11 23:45:35.000,n,2443.3128,868.764
2024/10/11 23:45:40.000,n,2443.1238,868.7016
2024/10/11 23:45:45.001,n,2444.7388,868.71728
2024/10/11 23:45:50.000,n,2443.9238,868.68584
2024/10/11 23:45:55.004,n,2444.0986,868.6392
2024/10/11 23:46:00.000,n,2443.7784,868.74832
2024/10/11 23:46:05.000,n,2444.0986,868.7016
2024/10/11 23:46:10.000,n,2443.6474,868.60864
2024/10/11 23:46:15.093,n,2444.2,868.82592
2024/10/11 23:46:20.003,n,2444.6806,868.74832
2024/10/11 23:46:25.000,n,2444.4328,868.71728
2024/10/11 23:46:30.006,n,2444.4476,868.71728
2024/10/11 23:46:35.000,n,2444.0112,868.73256
2024/10/11 23:46:40.000,n,2444.3602,868.71728
2024/10/11 23:46:45.023,n,2443.9824,868.81024
2024/10/11 23:46:50.000,n,2443.6622,868.6392
2024/10/11 23:46:55.007,n,2444.273,868.8412
2024/10/11 23:47:00.000,n,2443.8076,868.8412
2024/10/11 23:47:05.000,n,2444.5784,868.65488
2024/10/11 23:47:10.003,n,2444.0402,868.65488
2024/10/11 23:47:15.000,n,2444.0986,868.62344
2024/10/11 23:47:20.005,n,2443.7346,868.81024
2024/10/11 23:47:25.000,n,2443.8802,868.85696
2024/10/11 23:47:30.000,n,2444.0986,868.67056
2024/10/11 23:47:35.002,n,2444.404,868.68584
2024/10/11 23:47:40.000,n,2444.0112,868.85696
2024/10/11 23:47:45.005,n,2443.5018,868.79448
2024/10/11 23:47:50.059,n,2444.3022,868.9656
2024/10/11 23:47:55.000,n,2444.4328,868.73256
2024/10/11 23:48:00.001,n,2443.5308,868.764
2024/10/11 23:48:05.000,n,2443.7496,868.65488
2024/10/11 23:48:10.004,n,2443.8366,868.60864
2024/10/11 23:48:15.000,n,2444.404,868.82592
2024/10/11 23:48:20.000,n,2443.4876,868.7016
2024/10/11 23:48:25.000,n,2444.2438,868.68584
2024/10/11 23:48:30.000,n,2443.764,868.74832
2024/10/11 23:48:35.004,n,2444.273,868.764
2024/10/11 23:48:40.000,n,2443.6622,868.6392
2024/10/11 23:48:45.007,n,2443.9094,868.74832
2024/10/11 23:48:50.000,n,2443.9532,868.73256
2024/10/11 23:48:55.000,n,2443.7784,868.71728
2024/10/11 23:49:00.003,n,2444.0986,868.67056
2024/10/11 23:49:05.000,n,2443.7496,868.68584
2024/10/11 23:49:10.006,n,2443.7784,868.73256
2024/10/11 23:49:15.000,n,2444.2,868.79448
2024/10/11 23:49:20.000,n,2444.3022,868.65488
2024/10/11 23:49:25.101,n,2444.1712,868.8884
2024/10/11 23:49:30.000,n,2443.9382,868.71728
2024/10/11 23:49:35.006,n,2444.0986,868.73256
2024/10/11 23:49:40.000,n,2444.186,868.9188
2024/10/11 23:49:45.075,n,2444.0112,868.6392
2024/10/11 23:49:50.002,n,2443.895,868.67056
2024/10/11 23:49:55.000,n,2444.0838,868.7016
2024/10/11 23:50:00.005,n,2444.2438,868.8412
2024/10/11 23:50:05.000,n,2443.5604,868.5772
2024/10/11 23:50:10.000,n,2443.8802,868.94984
2024/10/11 23:50:15.001,n,2443.9824,868.71728
2024/10/11 23:50:20.000,n,2444.1418,868.67056
2024/10/11 23:50:25.004,n,2444.0838,868.71728
2024/10/11 23:50:30.000,n,2443.9094,868.73256
2024/10/11 23:50:35.000,n,2443.5018,868.7016
2024/10/11 23:50:40.000,n,2444.4184,868.62344
2024/10/11 23:50:45.000,n,2444.0986,868.79448
2024/10/11 23:50:50.004,n,2443.8802,868.59296
2024/10/11 23:50:55.000,n,2443.9676,868.68584
2024/10/11 23:51:00.141,n,2444.0986,868.73256
2024/10/11 23:51:05.000,n,2443.8366,868.65488
2024/10/11 23:51:10.109,n,2444.5202,868.81024
2024/10/11 23:51:15.053,n,2443.8366,868.764
2024/10/11 23:51:20.000,n,2443.895,868.59296
2024/10/11 23:51:25.006,n,2444.0256,868.74832
2024/10/11 23:51:30.000,n,2444.4328,868.68584
2024/10/11 23:51:35.000,n,2443.5458,868.71728
2024/10/11 23:51:40.003,n,2444.0402,868.90312
2024/10/11 23:51:45.000,n,2443.851,868.53048
2024/10/11 23:51:50.006,n,2444.462,868.74832
2024/10/11 23:51:55.000,n,2443.7784,868.60864
2024/10/11 23:52:00.000,n,2444.2438,868.74832
2024/10/11 23:52:05.002,n,2444.913,868.68584
2024/10/11 23:52:10.000,n,2443.9824,868.65488
2024/10/11 23:52:15.123,n,2444.0544,868.87264
2024/10/11 23:52:20.081,n,2444.3312,868.82592
2024/10/11 23:52:25.000,n,2444.0256,868.65488
