"Timestamp","TZ","S_4_V (V)","S_4_I (mA)","Calculation (Watts)"
2024/05/11 23:45:05.008,n,619.28816,593.12968,367.31816
2024/05/11 23:45:10.042,n,619.40368,593.19592,367.42776
2024/05/11 23:45:15.003,n,619.4864,592.71428,367.17844
2024/05/11 23:45:20.037,n,619.5526,592.86372,367.31024
2024/05/11 23:45:25.000,n,619.04012,592.93096,367.04804
2024/05/11 23:45:30.000,n,619.25476,592.71428,367.04116
2024/05/11 23:45:35.000,n,619.28816,593.41156,367.49272
2024/05/11 23:45:40.000,n,619.38728,592.7646,367.15084
2024/05/11 23:45:45.000,n,619.37084,592.79796,367.16176
2024/05/11 23:45:50.000,n,619.1064,593.06292,367.16904
2024/05/11 23:45:55.000,n,618.6432,592.71428,366.67864
2024/05/11 23:46:00.033,n,619.22192,592.69788,367.01152
2024/05/11 23:46:05.000,n,618.97388,593.37872,367.28596
2024/05/11 23:46:10.000,n,618.85832,593.29604,367.1662
2024/05/11 23:46:15.000,n,619.27172,592.99672,367.22612
2024/05/11 23:46:20.001,n,618.99028,592.8976,366.99784
2024/05/11 23:46:25.005,n,619.28816,593.21236,367.3694
2024/05/11 23:46:30.001,n,619.13924,593.03008,367.1682
2024/05/11 23:46:35.000,n,619.04012,592.84728,366.99624
2024/05/11 23:46:40.000,n,619.0894,592.98028,367.1078
2024/05/11 23:46:45.000,n,619.91716,593.04652,367.63972
2024/05/11 23:46:50.000,n,619.40368,592.9638,367.28396
2024/05/11 23:46:55.001,n,619.45348,592.9474,367.30336
2024/05/11 23:47:00.000,n,619.60292,593.19592,367.54588
2024/05/11 23:47:05.000,n,618.85832,593.17952,367.09408
2024/05/11 23:47:10.114,n,618.90764,592.99672,367.0102
2024/05/11 23:47:15.139,n,619.13924,593.0804,367.19932
2024/05/11 23:47:20.000,n,619.35436,592.83088,367.1724
2024/05/11 23:47:25.000,n,618.92408,593.12968,367.10228
2024/05/11 23:47:30.000,n,619.05656,593.12968,367.18084
2024/05/11 23:47:35.000,n,618.80852,593.01312,366.9616
2024/05/11 23:47:40.000,n,619.073,592.98028,367.09808
2024/05/11 23:47:45.000,n,619.18904,593.0804,367.22888
2024/05/11 23:47:50.000,n,618.82496,593.04652,366.99196
2024/05/11 23:47:55.031,n,619.22192,592.84728,367.10404
2024/05/11 23:48:00.144,n,619.0894,592.9474,367.08744
2024/05/11 23:48:05.000,n,619.05656,592.8976,367.03716
2024/05/11 23:48:10.000,n,619.27172,592.8976,367.16472
2024/05/11 23:48:15.000,n,618.79212,593.14612,367.03412
2024/05/11 23:48:20.000,n,619.00676,592.8976,367.00764
2024/05/11 23:48:25.000,n,619.15572,593.31244,367.3528
2024/05/11 23:48:30.113,n,619.80116,593.04652,367.57088
2024/05/11 23:48:35.000,n,619.1064,593.14612,367.22056
2024/05/11 23:48:40.000,n,619.5028,592.93096,367.3224
2024/05/11 23:48:45.002,n,619.04012,592.84728,366.99624
2024/05/11 23:48:50.054,n,619.1064,593.17952,367.2412
2024/05/11 23:48:55.000,n,619.05656,592.8144,366.98564
2024/05/11 23:49:00.000,n,618.79212,593.11324,367.0138
2024/05/11 23:49:05.000,n,618.97388,593.21236,367.18292
