Date,Y,X,Z,code,lon,lat,F
2024-05-10 00:00:00,-9.4,6.9,3.2,CTA,146.3,-20.1,12.09173271289107
2024-05-10 00:01:00,-9.1,6.7,3.2,CTA,146.3,-20.1,11.744786077234442
2024-05-10 00:02:00,-8.8,6.7,3.2,CTA,146.3,-20.1,11.513904637437294
2024-05-10 00:03:00,-8.8,6.9,3.3,CTA,146.3,-20.1,11.659331027121581
2024-05-10 00:04:00,-8.5,6.9,3.3,CTA,146.3,-20.1,11.434596626029272
2024-05-10 00:05:00,-8.4,6.9,3.4,CTA,146.3,-20.1,11.389907813498755
2024-05-10 00:06:00,-8.5,6.7,3.4,CTA,146.3,-20.1,11.34460224071342
2024-05-10 00:07:00,-8.0,6.5,3.4,CTA,146.3,-20.1,10.854031509075327
2024-05-10 00:08:00,-7.7,6.2,3.4,CTA,146.3,-20.1,10.454185764563398
2024-05-10 00:09:00,-7.3,5.9,3.4,CTA,146.3,-20.1,9.982985525382675
2024-05-10 00:10:00,-7.1,5.8,3.5,CTA,146.3,-20.1,9.813256340277675
2024-05-10 00:11:00,-7.1,5.3,3.5,CTA,146.3,-20.1,9.526279441628825
2024-05-10 00:12:00,-7.3,5.0,3.5,CTA,146.3,-20.1,9.515250916292223
2024-05-10 00:13:00,-7.0,5.3,3.5,CTA,146.3,-20.1,9.451983918733676
2024-05-10 00:14:00,-6.8,5.4,3.6,CTA,146.3,-20.1,9.4
2024-05-10 00:15:00,-6.7,5.4,3.7,CTA,146.3,-20.1,9.366963221877196
2024-05-10 00:16:00,-6.7,5.1,3.7,CTA,146.3,-20.1,9.197282207261013
2024-05-10 00:17:00,-6.6,5.0,3.8,CTA,146.3,-20.1,9.1104335791443
2024-05-10 00:18:00,-6.4,5.0,3.9,CTA,146.3,-20.1,9.009439494219382
2024-05-10 00:19:00,-6.6,4.8,4.0,CTA,146.3,-20.1,9.08845421400141
2024-05-10 00:20:00,-6.6,4.6,4.0,CTA,146.3,-20.1,8.98443097808648
2024-05-10 00:21:00,-6.6,4.3,4.1,CTA,146.3,-20.1,8.88031530971733
2024-05-10 00:22:00,-6.6,4.0,4.2,CTA,146.3,-20.1,8.786353054595518
2024-05-10 00:23:00,-6.8,3.5,4.2,CTA,146.3,-20.1,8.725250712730265
2024-05-10 00:24:00,-7.0,3.0,4.3,CTA,146.3,-20.1,8.74585616163449
2024-05-10 00:25:00,-7.1,2.6,4.3,CTA,146.3,-20.1,8.698275691193054
2024-05-10 00:26:00,-7.0,2.3,4.3,CTA,146.3,-20.1,8.531119504496465
2024-05-10 00:27:00,-7.0,2.0,4.4,CTA,146.3,-20.1,8.506468127254696
2024-05-10 00:28:00,-7.2,1.8,4.4,CTA,146.3,-20.1,8.627861844049198
2024-05-10 00:29:00,-7.2,1.6,4.5,CTA,146.3,-20.1,8.64002314811714
2024-05-10 00:30:00,-7.3,0.8,4.5,CTA,146.3,-20.1,8.61278120005379
2024-05-10 00:31:00,-7.3,0.6,4.5,CTA,146.3,-20.1,8.596510920134982
2024-05-10 00:32:00,-7.3,0.3,4.5,CTA,146.3,-20.1,8.58079250419214
2024-05-10 00:33:00,-7.4,-0.2,4.6,CTA,146.3,-20.1,8.715503427800371
2024-05-10 00:34:00,-7.2,-0.6,4.5,CTA,146.3,-20.1,8.511756575466665
2024-05-10 00:35:00,-7.6,-1.3,4.5,CTA,146.3,-20.1,8.927485648266257
2024-05-10 00:36:00,-7.9,-1.8,4.5,CTA,146.3,-20.1,9.268225288586807
2024-05-10 00:37:00,-8.2,-2.0,4.4,CTA,146.3,-20.1,9.518403227432634
2024-05-10 00:38:00,-8.6,-2.3,4.5,CTA,146.3,-20.1,9.974968671630002
2024-05-10 00:39:00,-9.3,-2.2,4.5,CTA,146.3,-20.1,10.563143471523995
2024-05-10 00:40:00,-10.3,-1.7,4.5,CTA,146.3,-20.1,11.367937367878133
2024-05-10 00:41:00,-10.7,-1.2,4.6,CTA,146.3,-20.1,11.7085438889727
2024-05-10 00:42:00,-11.1,-1.0,4.7,CTA,146.3,-20.1,12.095453691366853
2024-05-10 00:43:00,-11.0,-0.4,4.9,CTA,146.3,-20.1,12.048651376813922
2024-05-10 00:44:00,-11.2,-0.7,5.0,CTA,146.3,-20.1,12.285357137665962
2024-05-10 00:45:00,-11.1,-1.6,5.1,CTA,146.3,-20.1,12.31990259701756
2024-05-10 00:46:00,-10.8,-1.6,5.2,CTA,146.3,-20.1,12.09297316626478
2024-05-10 00:47:00,-10.8,-1.8,5.3,CTA,146.3,-20.1,12.164292005702592
2024-05-10 00:48:00,-10.8,-1.9,5.3,CTA,146.3,-20.1,12.179490958164056
2024-05-10 00:49:00,-10.9,-1.8,5.4,CTA,146.3,-20.1,12.296747537458838
2024-05-10 00:50:00,-10.8,-1.7,5.5,CTA,146.3,-20.1,12.238463955905578
2024-05-10 00:51:00,-10.6,-1.8,5.6,CTA,146.3,-20.1,12.12270596855339
2024-05-10 00:52:00,-10.5,-2.1,5.7,CTA,146.3,-20.1,12.130539971493437
2024-05-10 00:53:00,-10.4,-2.3,5.6,CTA,146.3,-20.1,12.033702672078947
2024-05-10 00:54:00,-10.7,-2.7,5.6,CTA,146.3,-20.1,12.37497474744898
2024-05-10 00:55:00,-11.1,-3.0,5.7,CTA,146.3,-20.1,12.833549781724463
2024-05-10 00:56:00,-11.1,-3.2,5.7,CTA,146.3,-20.1,12.881770064707723
2024-05-10 00:57:00,-10.9,-3.4,5.7,CTA,146.3,-20.1,12.761661333854617
2024-05-10 00:58:00,-10.8,-3.6,5.7,CTA,146.3,-20.1,12.731457104353767
2024-05-10 00:59:00,-10.8,-3.9,5.8,CTA,146.3,-20.1,12.86429166336025
2024-05-10 01:00:00,-10.8,-4.1,5.8,CTA,146.3,-20.1,12.926329718833573
2024-05-10 01:01:00,-10.7,-4.3,5.8,CTA,146.3,-20.1,12.908136968594654
2024-05-10 01:02:00,-10.8,-4.4,5.8,CTA,146.3,-20.1,13.024592124131951
2024-05-10 01:03:00,-10.6,-4.5,5.8,CTA,146.3,-20.1,12.893796958227627
2024-05-10 01:04:00,-10.6,-4.4,5.9,CTA,146.3,-20.1,12.904650324592295
2024-05-10 01:05:00,-10.6,-4.5,6.0,CTA,146.3,-20.1,12.984991336154215
2024-05-10 01:06:00,-10.4,-4.6,6.0,CTA,146.3,-20.1,12.857682528356344
2024-05-10 01:07:00,-10.3,-4.7,6.0,CTA,146.3,-20.1,12.81327436684316
2024-05-10 01:08:00,-10.2,-4.9,6.1,CTA,146.3,-20.1,12.855349081219071
2024-05-10 01:09:00,-10.3,-4.9,6.1,CTA,146.3,-20.1,12.93483668238606
2024-05-10 01:10:00,-10.3,-4.7,6.2,CTA,146.3,-20.1,12.908136968594654
2024-05-10 01:11:00,-10.4,-4.3,6.3,CTA,146.3,-20.1,12.897286536322282
2024-05-10 01:12:00,-10.5,-4.3,6.3,CTA,146.3,-20.1,12.978058406402708
2024-05-10 01:13:00,-10.8,-4.4,6.4,CTA,146.3,-20.1,13.302631318652713
2024-05-10 01:14:00,-10.9,-4.3,6.5,CTA,146.3,-20.1,13.399626860476378
2024-05-10 01:15:00,-11.4,-4.4,6.6,CTA,146.3,-20.1,13.888124423405776
2024-05-10 01:16:00,-11.6,-4.6,6.6,CTA,146.3,-20.1,14.116656828017035
2024-05-10 01:17:00,-11.3,-4.7,6.7,CTA,146.3,-20.1,13.952419145080183
2024-05-10 01:18:00,-11.5,-4.8,6.8,CTA,146.3,-20.1,14.196126232180383
2024-05-10 01:19:00,-11.5,-4.9,6.8,CTA,146.3,-20.1,14.230249470757707
2024-05-10 01:20:00,-11.4,-4.9,6.8,CTA,146.3,-20.1,14.149558296992879
2024-05-10 01:21:00,11.3,5.1,6.8,CTA,146.3,-20.1,14.140014144264496
2024-05-10 01:22:00,11.6,5.2,6.8,CTA,146.3,-20.1,14.416657032752079
2024-05-10 01:23:00,11.2,5.1,6.9,CTA,146.3,-20.1,14.1088624630053
2024-05-10 01:24:00,11.2,5.2,6.9,CTA,146.3,-20.1,14.145317246354002
2024-05-10 01:25:00,11.0,5.3,7.0,CTA,146.3,-20.1,14.07444492688788
2024-05-10 01:26:00,11.4,5.2,7.0,CTA,146.3,-20.1,14.352700094407323
2024-05-10 01:27:00,11.7,5.5,7.0,CTA,146.3,-20.1,14.701700581905483
2024-05-10 01:28:00,12.4,6.1,7.0,CTA,146.3,-20.1,15.490965108733542
2024-05-10 01:29:00,12.4,6.5,6.9,CTA,146.3,-20.1,15.608331108738053
2024-05-10 01:30:00,12.1,6.6,7.0,CTA,146.3,-20.1,15.458654533949582
2024-05-10 01:31:00,12.1,6.9,6.9,CTA,146.3,-20.1,15.54445238662334
2024-05-10 01:32:00,11.8,6.8,7.0,CTA,146.3,-20.1,15.312739794040779
2024-05-10 01:33:00,11.6,6.9,7.1,CTA,146.3,-20.1,15.250573759698355
2024-05-10 01:34:00,11.7,7.1,7.1,CTA,146.3,-20.1,15.417846801677593
2024-05-10 01:35:00,11.7,7.2,7.1,CTA,146.3,-20.1,15.464152094440871
2024-05-10 01:36:00,11.9,7.0,7.2,CTA,146.3,-20.1,15.57080601638849
2024-05-10 01:37:00,11.9,7.1,7.3,CTA,146.3,-20.1,15.662375298785303
2024-05-10 01:38:00,11.7,7.0,7.3,CTA,146.3,-20.1,15.465445354078879
2024-05-10 01:39:00,11.5,7.3,7.4,CTA,146.3,-20.1,15.501612819316577
2024-05-10 01:40:00,11.1,7.1,7.5,CTA,146.3,-20.1,15.161464309228183
2024-05-10 01:41:00,11.1,7.1,7.6,CTA,146.3,-20.1,15.211180098861496
2024-05-10 01:42:00,11.2,7.3,7.6,CTA,146.3,-20.1,15.378231367748372
2024-05-10 01:43:00,10.8,7.5,7.6,CTA,146.3,-20.1,15.187165634179408
2024-05-10 01:44:00,10.5,7.2,7.7,CTA,146.3,-20.1,14.878844041120937
2024-05-10 01:45:00,10.1,6.6,7.8,CTA,146.3,-20.1,14.366976021418008
2024-05-10 01:46:00,10.1,6.7,7.9,CTA,146.3,-20.1,14.467549896233294
2024-05-10 01:47:00,10.0,6.9,7.9,CTA,146.3,-20.1,14.492066795319431
2024-05-10 01:48:00,10.0,7.2,7.9,CTA,146.3,-20.1,14.637281168304447
2024-05-10 01:49:00,9.7,7.3,7.8,CTA,146.3,-20.1,14.429830213831346
