Date,X,Y,Z,F
2024-05-10 00:00:00,8.055,-3.365,2.645,0.315
2024-05-10 00:01:00,7.515,-3.305,2.575,0.175
2024-05-10 00:02:00,7.025,-3.665,2.495,0.005
2024-05-10 00:03:00,6.885,-4.045,2.565,-0.165
2024-05-10 00:04:00,6.565,-4.155,2.555,-0.285
2024-05-10 00:05:00,6.445,-4.385,2.595,-0.375
2024-05-10 00:06:00,6.565,-4.225,2.615,-0.355
2024-05-10 00:07:00,5.775,-4.055,2.515,-0.565
2024-05-10 00:08:00,5.265,-4.045,2.335,-0.595
2024-05-10 00:09:00,4.885,-3.855,2.175,-0.565
2024-05-10 00:10:00,4.585,-3.815,2.045,-0.535
2024-05-10 00:11:00,4.735,-3.435,1.925,-0.355
2024-05-10 00:12:00,4.575,-3.245,1.825,-0.315
2024-05-10 00:13:00,4.175,-3.955,1.915,-0.625
2024-05-10 00:14:00,3.815,-4.465,2.005,-0.905
2024-05-10 00:15:00,3.575,-4.545,2.005,-0.965
2024-05-10 00:16:00,3.515,-4.295,1.935,-0.905
2024-05-10 00:17:00,3.095,-4.475,1.895,-1.035
2024-05-10 00:18:00,2.755,-4.635,1.855,-1.155
2024-05-10 00:19:00,2.875,-4.375,1.755,-1.025
2024-05-10 00:20:00,2.745,-4.505,1.765,-1.085
2024-05-10 00:21:00,2.655,-4.425,1.725,-1.075
2024-05-10 00:22:00,2.695,-4.225,1.665,-0.985
2024-05-10 00:23:00,2.715,-3.475,1.475,-0.775
2024-05-10 00:24:00,2.985,-2.795,1.335,-0.465
2024-05-10 00:25:00,2.815,-2.295,1.175,-0.335
2024-05-10 00:26:00,2.435,-2.215,1.035,-0.355
2024-05-10 00:27:00,2.365,-2.175,0.955,-0.315
2024-05-10 00:28:00,2.305,-2.015,0.875,-0.225
2024-05-10 00:29:00,2.095,-1.935,0.875,-0.315
2024-05-10 00:30:00,2.055,-1.355,0.715,-0.125
2024-05-10 00:31:00,1.825,-1.295,0.625,-0.125
2024-05-10 00:32:00,1.765,-1.015,0.505,-0.055
2024-05-10 00:33:00,1.785,-0.525,0.365,0.125
2024-05-10 00:34:00,1.415,-0.275,0.235,0.175
2024-05-10 00:35:00,1.725,0.655,-0.025,0.625
2024-05-10 00:36:00,1.815,1.005,-0.115,0.765
2024-05-10 00:37:00,2.135,1.095,-0.095,0.885
2024-05-10 00:38:00,2.595,1.195,0.025,0.955
2024-05-10 00:39:00,2.955,1.085,0.205,0.915
2024-05-10 00:40:00,3.735,0.525,0.575,0.815
2024-05-10 00:41:00,3.655,-0.265,1.015,0.345
2024-05-10 00:42:00,3.505,-0.825,1.265,-0.005
2024-05-10 00:43:00,3.295,-1.765,1.585,-0.455
2024-05-10 00:44:00,3.385,-1.235,1.655,-0.475
2024-05-10 00:45:00,3.095,-0.195,1.465,-0.305
2024-05-10 00:46:00,2.305,-0.365,1.375,-0.535
2024-05-10 00:47:00,2.175,-0.355,1.305,-0.525
2024-05-10 00:48:00,1.745,-0.565,1.255,-0.675
2024-05-10 00:49:00,1.605,-1.025,1.285,-0.785
2024-05-10 00:50:00,1.465,-1.115,1.315,-0.895
2024-05-10 00:51:00,1.035,-1.065,1.235,-1.015
2024-05-10 00:52:00,0.805,-0.935,1.145,-0.965
2024-05-10 00:53:00,0.435,-0.855,1.005,-0.975
2024-05-10 00:54:00,0.755,-0.605,0.935,-0.765
2024-05-10 00:55:00,1.025,-0.125,0.855,-0.575
2024-05-10 00:56:00,0.825,-0.065,0.815,-0.605
2024-05-10 00:57:00,0.285,-0.065,0.705,-0.705
2024-05-10 00:58:00,0.075,0.045,0.535,-0.645
2024-05-10 00:59:00,0.095,0.285,0.405,-0.515
2024-05-10 01:00:00,-0.075,0.365,0.285,-0.425
2024-05-10 01:01:00,-0.315,0.295,0.175,-0.415
2024-05-10 01:02:00,-0.455,0.185,0.065,-0.405
2024-05-10 01:03:00,-0.665,0.055,-0.025,-0.385
2024-05-10 01:04:00,-0.845,-0.155,-0.095,-0.425
2024-05-10 01:05:00,-0.955,-0.095,-0.205,-0.385
2024-05-10 01:06:00,-1.405,-0.055,-0.355,-0.405
2024-05-10 01:07:00,-1.685,0.235,-0.605,-0.265
2024-05-10 01:08:00,-1.835,0.485,-0.835,-0.085
2024-05-10 01:09:00,-1.835,0.275,-0.925,-0.025
2024-05-10 01:10:00,-1.935,-0.065,-0.985,-0.065
2024-05-10 01:11:00,-1.995,-0.645,-0.945,-0.175
2024-05-10 01:12:00,-1.695,-0.345,-1.005,0.045
2024-05-10 01:13:00,-1.625,-0.045,-1.095,0.165
2024-05-10 01:14:00,-1.795,-0.345,-1.115,0.115
2024-05-10 01:15:00,-1.285,0.045,-1.175,0.395
2024-05-10 01:16:00,-1.385,0.355,-1.265,0.495
2024-05-10 01:17:00,-1.815,0.625,-1.475,0.525
2024-05-10 01:18:00,-1.755,0.735,-1.655,0.715
2024-05-10 01:19:00,-1.825,0.875,-1.775,0.825
2024-05-10 01:20:00,-2.085,0.865,-1.915,0.795
2024-05-10 01:21:00,-2.095,1.165,-2.135,1.085
2024-05-10 01:22:00,-1.695,1.505,-2.265,1.345
2024-05-10 01:23:00,-2.095,1.295,-2.325,1.245
2024-05-10 01:24:00,-2.095,1.495,-2.455,1.405
2024-05-10 01:25:00,-2.295,1.525,-2.575,1.375
2024-05-10 01:26:00,-1.995,1.685,-2.615,1.595
2024-05-10 01:27:00,-1.625,2.195,-2.735,1.855
2024-05-10 01:28:00,-0.835,3.315,-2.875,2.415
2024-05-10 01:29:00,-0.945,4.025,-3.035,2.575
2024-05-10 01:30:00,-1.175,4.325,-3.185,2.625
2024-05-10 01:31:00,-1.245,4.795,-3.395,2.855
2024-05-10 01:32:00,-1.635,4.575,-3.465,2.745
2024-05-10 01:33:00,-1.835,5.015,-3.625,2.865
2024-05-10 01:34:00,-1.825,5.445,-3.825,3.045
2024-05-10 01:35:00,-1.795,5.805,-3.925,3.205
2024-05-10 01:36:00,-1.905,5.755,-3.955,3.185
2024-05-10 01:37:00,-2.105,5.825,-4.005,3.145
2024-05-10 01:38:00,-2.455,5.905,-4.065,3.115
2024-05-10 01:39:00,-2.675,6.385,-4.235,3.225
2024-05-10 01:40:00,-2.975,6.245,-4.305,3.125
2024-05-10 01:41:00,-2.745,6.555,-4.395,3.375
2024-05-10 01:42:00,-2.815,7.265,-4.555,3.535
2024-05-10 01:43:00,-3.345,7.355,-4.715,3.465
2024-05-10 01:44:00,-3.905,6.785,-4.745,3.235
2024-05-10 01:45:00,-4.265,6.225,-4.725,3.045
2024-05-10 01:46:00,-4.365,6.565,-4.815,3.115
2024-05-10 01:47:00,-4.575,7.045,-4.985,3.205
2024-05-10 01:48:00,-4.795,7.515,-5.175,3.285
2024-05-10 01:49:00,-5.035,7.845,-5.335,3.425
2024-05-10 01:50:00,-5.045,7.145,-5.295,3.275
2024-05-10 01:51:00,-4.765,7.045,-5.235,3.345
2024-05-10 01:52:00,-3.905,7.695,-5.255,3.745
2024-05-10 01:53:00,-2.805,8.875,-5.295,4.305
2024-05-10 01:54:00,-2.185,9.545,-5.295,4.635
2024-05-10 01:55:00,-2.135,9.605,-5.225,4.605
2024-05-10 01:56:00,-2.025,9.105,-5.085,4.495
2024-05-10 01:57:00,-1.725,8.725,-4.945,4.455
2024-05-10 01:58:00,-1.785,8.165,-4.825,4.265
2024-05-10 01:59:00,-2.075,7.855,-4.755,4.045
2024-05-10 02:00:00,-1.955,8.265,-4.865,4.295
2024-05-10 02:01:00,-2.225,8.445,-4.955,4.215
2024-05-10 02:02:00,-1.805,9.225,-5.155,4.665
2024-05-10 02:03:00,-2.145,9.325,-5.285,4.665
2024-05-10 02:04:00,-1.455,8.995,-5.225,4.845
2024-05-10 02:05:00,-1.035,9.215,-5.155,4.915
2024-05-10 02:06:00,-0.675,9.595,-5.145,5.135
2024-05-10 02:07:00,-0.145,10.225,-5.215,5.475
2024-05-10 02:08:00,-0.985,9.845,-5.205,5.105
2024-05-10 02:09:00,-1.485,9.635,-5.265,4.925
2024-05-10 02:10:00,-1.545,9.675,-5.335,4.935
2024-05-10 02:11:00,-2.085,9.765,-5.435,4.845
2024-05-10 02:12:00,-2.105,9.915,-5.495,4.925
2024-05-10 02:13:00,-1.165,10.205,-5.435,5.255
2024-05-10 02:14:00,-0.085,10.295,-5.245,5.515
2024-05-10 02:15:00,1.075,10.875,-5.055,5.855
2024-05-10 02:16:00,1.815,11.505,-4.935,6.095
2024-05-10 02:17:00,2.765,12.205,-4.825,6.425
2024-05-10 02:18:00,3.715,13.125,-4.805,6.875
2024-05-10 02:19:00,3.395,13.415,-4.745,6.725
2024-05-10 02:20:00,3.205,13.465,-4.755,6.635
2024-05-10 02:21:00,3.605,13.715,-4.755,6.845
2024-05-10 02:22:00,4.055,13.705,-4.615,6.875
2024-05-10 02:23:00,4.925,13.555,-4.385,7.025
2024-05-10 02:24:00,5.515,14.685,-4.365,7.325
2024-05-10 02:25:00,5.205,15.885,-4.615,7.555
2024-05-10 02:26:00,5.065,16.165,-4.825,7.675
2024-05-10 02:27:00,4.815,15.865,-4.845,7.595
2024-05-10 02:28:00,5.015,15.415,-4.755,7.545
2024-05-10 02:29:00,5.335,15.705,-4.665,7.645
2024-05-10 02:30:00,5.195,15.845,-4.645,7.575
2024-05-10 02:31:00,5.155,15.965,-4.695,7.595
2024-05-10 02:32:00,6.215,15.055,-4.355,7.625
2024-05-10 02:33:00,6.925,14.815,-3.955,7.515
2024-05-10 02:34:00,8.125,15.775,-3.855,7.965
2024-05-10 02:35:00,9.955,16.925,-3.645,8.625
2024-05-10 02:36:00,9.885,17.565,-3.515,8.525
2024-05-10 02:37:00,10.035,18.605,-3.575,8.775
2024-05-10 02:38:00,10.275,19.085,-3.615,8.925
2024-05-10 02:39:00,10.545,18.665,-3.495,8.885
2024-05-10 02:40:00,10.175,17.835,-3.175,8.385
2024-05-10 02:41:00,10.395,17.705,-3.055,8.345
2024-05-10 02:42:00,11.225,17.625,-2.855,8.515
2024-05-10 02:43:00,10.395,17.405,-2.715,7.995
2024-05-10 02:44:00,11.105,17.645,-2.665,8.285
2024-05-10 02:45:00,11.495,17.775,-2.495,8.265
2024-05-10 02:46:00,11.895,17.865,-2.345,8.315
2024-05-10 02:47:00,12.885,18.415,-2.235,8.625
2024-05-10 02:48:00,13.865,19.125,-2.115,8.985
2024-05-10 02:49:00,13.995,19.655,-2.055,9.015
2024-05-10 02:50:00,13.055,19.765,-2.095,8.725
2024-05-10 02:51:00,12.565,19.665,-2.145,8.585
2024-05-10 02:52:00,11.665,19.905,-2.365,8.435
2024-05-10 02:53:00,11.415,19.865,-2.495,8.405
2024-05-10 02:54:00,10.755,19.395,-2.505,8.135
2024-05-10 02:55:00,10.005,18.815,-2.485,7.765
2024-05-10 02:56:00,9.935,18.785,-2.525,7.755
2024-05-10 02:57:00,9.675,18.865,-2.585,7.695
2024-05-10 02:58:00,9.555,18.865,-2.565,7.635
2024-05-10 02:59:00,9.745,19.175,-2.545,7.735
2024-05-10 03:00:00,9.865,19.175,-2.435,7.705
2024-05-10 03:01:00,9.735,19.085,-2.335,7.515
2024-05-10 03:02:00,9.785,19.445,-2.335,7.605
2024-05-10 03:03:00,10.075,19.695,-2.295,7.705
2024-05-10 03:04:00,9.825,20.085,-2.315,7.675
2024-05-10 03:05:00,10.095,20.245,-2.315,7.765
2024-05-10 03:06:00,9.935,20.075,-2.225,7.605
2024-05-10 03:07:00,9.125,19.945,-2.225,7.285
2024-05-10 03:08:00,10.555,20.095,-2.175,7.795
2024-05-10 03:09:00,11.085,19.035,-1.515,7.325
2024-05-10 03:10:00,11.385,18.435,-1.225,7.145
2024-05-10 03:11:00,14.505,17.925,-0.375,7.515
2024-05-10 03:12:00,16.425,19.675,0.045,8.055
2024-05-10 03:13:00,18.395,21.225,0.405,8.665
2024-05-10 03:14:00,18.385,22.915,0.395,8.835
2024-05-10 03:15:00,23.105,25.595,0.285,10.995
2024-05-10 03:16:00,25.095,22.645,1.945,10.085
2024-05-10 03:17:00,23.965,21.965,2.485,9.065
2024-05-10 03:18:00,25.675,21.535,3.075,9.145
2024-05-10 03:19:00,24.695,23.375,2.925,9.095
2024-05-10 03:20:00,23.385,26.385,2.185,9.465
