Date,X,Y,Z,F
2024-05-10 00:00:00,0.7,-10.365,-7.52,5.315
2024-05-10 00:01:00,0.46,-10.295,-7.45,5.065
2024-05-10 00:02:00,0.09,-10.385,-7.34,4.715
2024-05-10 00:03:00,0.06,-10.575,-7.21,4.565
2024-05-10 00:04:00,-0.29,-10.645,-7.05,4.265
2024-05-10 00:05:00,-0.38,-10.735,-6.94,4.115
2024-05-10 00:06:00,-0.34,-10.525,-6.85,4.015
2024-05-10 00:07:00,-0.94,-10.475,-6.72,3.655
2024-05-10 00:08:00,-1.26,-10.235,-6.6,3.275
2024-05-10 00:09:00,-1.64,-9.995,-6.49,2.965
2024-05-10 00:10:00,-1.95,-9.935,-6.34,2.755
2024-05-10 00:11:00,-1.92,-9.485,-6.25,2.735
2024-05-10 00:12:00,-1.85,-9.245,-6.18,2.765
2024-05-10 00:13:00,-2.07,-9.545,-6.05,2.445
2024-05-10 00:14:00,-2.25,-9.725,-5.86,2.185
2024-05-10 00:15:00,-2.41,-9.735,-5.69,1.975
2024-05-10 00:16:00,-2.48,-9.465,-5.57,1.825
2024-05-10 00:17:00,-2.65,-9.495,-5.41,1.605
2024-05-10 00:18:00,-2.81,-9.465,-5.19,1.355
2024-05-10 00:19:00,-2.7,-9.215,-5.04,1.325
2024-05-10 00:20:00,-2.69,-9.035,-4.88,1.245
2024-05-10 00:21:00,-2.77,-8.795,-4.72,1.045
2024-05-10 00:22:00,-2.79,-8.565,-4.56,0.905
2024-05-10 00:23:00,-2.64,-8.025,-4.44,0.965
2024-05-10 00:24:00,-2.51,-7.515,-4.3,0.995
2024-05-10 00:25:00,-2.51,-7.085,-4.21,0.955
2024-05-10 00:26:00,-2.73,-6.875,-4.06,0.735
2024-05-10 00:27:00,-2.73,-6.545,-3.88,0.595
2024-05-10 00:28:00,-2.6,-6.315,-3.81,0.655
2024-05-10 00:29:00,-2.67,-6.035,-3.67,0.525
2024-05-10 00:30:00,-2.59,-5.405,-3.56,0.485
2024-05-10 00:31:00,-2.67,-5.165,-3.46,0.405
2024-05-10 00:32:00,-2.69,-4.875,-3.36,0.355
2024-05-10 00:33:00,-2.7,-4.375,-3.25,0.315
2024-05-10 00:34:00,-2.94,-4.065,-3.17,0.175
2024-05-10 00:35:00,-2.64,-3.325,-3.1,0.395
2024-05-10 00:36:00,-2.45,-2.735,-3.06,0.485
2024-05-10 00:37:00,-2.17,-2.485,-3.02,0.675
2024-05-10 00:38:00,-1.83,-2.195,-2.91,0.815
2024-05-10 00:39:00,-1.11,-2.165,-2.82,1.215
2024-05-10 00:40:00,-0.06,-2.515,-2.68,1.755
2024-05-10 00:41:00,0.43,-2.945,-2.5,1.935
