Date,X,Y,Z,F
2024-05-10 00:00:00,-5.55,13.05,5.2,-3.345
2024-05-10 00:01:00,-5.85,12.95,5.3,-3.625
2024-05-10 00:02:00,-5.75,12.75,5.3,-3.525
2024-05-10 00:03:00,-5.25,12.55,5.1,-3.085
2024-05-10 00:04:00,-5.25,12.45,5.1,-3.085
2024-05-10 00:05:00,-4.85,12.45,4.9,-2.735
2024-05-10 00:06:00,-4.65,12.35,4.8,-2.555
2024-05-10 00:07:00,-4.95,12.25,4.8,-2.955
2024-05-10 00:08:00,-5.25,12.05,4.9,-3.225
2024-05-10 00:09:00,-5.45,11.95,5,-3.405
2024-05-10 00:10:00,-5.45,11.75,4.9,-3.425
2024-05-10 00:11:00,-5.35,11.75,4.7,-3.365
2024-05-10 00:12:00,-4.85,11.65,4.5,-2.925
2024-05-10 00:13:00,-4.15,11.45,4.2,-2.305
2024-05-10 00:14:00,-3.95,11.25,4,-2.145
2024-05-10 00:15:00,-3.75,11.05,3.9,-1.975
2024-05-10 00:16:00,-4.05,10.55,4.1,-2.435
2024-05-10 00:17:00,-3.95,10.05,4.1,-2.435
2024-05-10 00:18:00,-3.85,9.85,4,-2.365
2024-05-10 00:19:00,-3.85,9.65,3.9,-2.385
2024-05-10 00:20:00,-3.85,9.35,3.9,-2.485
2024-05-10 00:21:00,-4.35,8.95,4,-2.965
2024-05-10 00:22:00,-4.35,8.45,4,-2.965
2024-05-10 00:23:00,-4.55,7.95,4,-3.065
2024-05-10 00:24:00,-4.35,7.65,3.8,-2.915
2024-05-10 00:25:00,-4.45,7.35,3.8,-3.015
2024-05-10 00:26:00,-4.75,6.85,3.8,-3.415
2024-05-10 00:27:00,-4.75,6.55,3.8,-3.415
2024-05-10 00:28:00,-4.65,6.15,3.7,-3.345
2024-05-10 00:29:00,-4.35,6.05,3.4,-3.115
2024-05-10 00:30:00,-4.55,5.95,3.4,-3.305
2024-05-10 00:31:00,-4.35,5.75,3.2,-3.155
2024-05-10 00:32:00,-4.55,5.55,3.2,-3.355
2024-05-10 00:33:00,-4.85,5.35,3.2,-3.645
2024-05-10 00:34:00,-5.25,5.05,3.2,-3.945
2024-05-10 00:35:00,-5.45,4.85,3.3,-4.215
2024-05-10 00:36:00,-5.05,4.95,3,-3.885
2024-05-10 00:37:00,-4.45,4.95,2.8,-3.245
2024-05-10 00:38:00,-2.95,4.75,2.2,-1.905
2024-05-10 00:39:00,-1.35,4.35,1.7,-0.545
2024-05-10 00:40:00,1.25,4.35,0.8,1.815
2024-05-10 00:41:00,3.15,4.45,0.2,3.545
2024-05-10 00:42:00,3.65,4.35,0,3.995
2024-05-10 00:43:00,4.25,4.45,-0.2,4.645
2024-05-10 00:44:00,4.55,4.55,-0.2,4.835
2024-05-10 00:45:00,4.15,4.35,0,4.585
2024-05-10 00:46:00,4.05,3.95,0.2,4.425
2024-05-10 00:47:00,4.15,3.55,0.2,4.615
2024-05-10 00:48:00,4.05,3.15,0.3,4.535
2024-05-10 00:49:00,4.45,2.85,0.3,4.925
2024-05-10 00:50:00,4.55,2.45,0.3,5.025
2024-05-10 00:51:00,4.35,2.05,0.4,4.845
2024-05-10 00:52:00,3.95,1.85,0.5,4.465
2024-05-10 00:53:00,3.45,1.55,0.8,4.045
2024-05-10 00:54:00,3.95,1.45,0.6,4.485
2024-05-10 00:55:00,4.35,1.35,0.4,4.835
2024-05-10 00:56:00,4.85,1.15,0.2,5.285
2024-05-10 00:57:00,4.65,0.85,0.2,5.085
2024-05-10 00:58:00,4.85,0.55,0.2,5.175
2024-05-10 00:59:00,4.85,0.15,0.1,5.155
2024-05-10 01:00:00,5.15,-0.15,0,5.425
2024-05-10 01:01:00,4.65,-0.65,0.1,5.045
2024-05-10 01:02:00,4.85,-0.85,0,5.125
2024-05-10 01:03:00,4.55,-1.15,0,4.925
2024-05-10 01:04:00,4.65,-1.35,-0.1,4.905
2024-05-10 01:05:00,4.85,-1.65,-0.2,5.175
2024-05-10 01:06:00,4.65,-1.95,-0.3,4.855
2024-05-10 01:07:00,4.15,-2.35,-0.2,4.485
2024-05-10 01:08:00,3.95,-2.65,-0.2,4.285
2024-05-10 01:09:00,3.95,-2.95,-0.3,4.265
2024-05-10 01:10:00,3.95,-3.35,-0.4,4.235
2024-05-10 01:11:00,4.55,-3.75,-0.7,4.755
2024-05-10 01:12:00,4.35,-4.15,-0.7,4.565
2024-05-10 01:13:00,4.55,-4.45,-0.8,4.735
2024-05-10 01:14:00,4.65,-4.85,-0.9,4.805
2024-05-10 01:15:00,5.05,-5.05,-1.2,5.135
2024-05-10 01:16:00,4.85,-5.35,-1.3,4.915
2024-05-10 01:17:00,4.25,-5.55,-1.1,4.365
2024-05-10 01:18:00,4.35,-5.85,-1.3,4.425
2024-05-10 01:19:00,3.75,-6.05,-1.3,3.835
2024-05-10 01:20:00,3.15,-6.25,-1.2,3.265
2024-05-10 01:21:00,2.35,-6.55,-1,2.525
2024-05-10 01:22:00,2.25,-6.75,-1.1,2.405
