Date,X,Y,Z,F
2024-05-10 00:00:00,10.02,14.105,6.1,8.8
2024-05-10 00:01:00,9.67,13.715,5.7,8.3
2024-05-10 00:02:00,9.48,13.125,5.6,8.1
2024-05-10 00:03:00,9.25,12.885,5.8,8.1
2024-05-10 00:04:00,9.09,12.465,5.6,8
2024-05-10 00:05:00,8.87,12.325,5.6,7.8
2024-05-10 00:06:00,8.64,12.085,5.5,7.6
2024-05-10 00:07:00,8.19,11.795,5.2,7.1
2024-05-10 00:08:00,7.72,11.325,5.1,6.7
2024-05-10 00:09:00,7.25,10.865,4.8,6.3
2024-05-10 00:10:00,6.91,10.555,4.6,6
2024-05-10 00:11:00,6.78,10.315,4.4,5.8
2024-05-10 00:12:00,6.75,10.135,4.3,5.7
2024-05-10 00:13:00,6.75,10.135,4.2,5.6
2024-05-10 00:14:00,6.6,9.805,4.3,5.6
2024-05-10 00:15:00,6.47,9.555,4.4,5.6
2024-05-10 00:16:00,6.29,8.965,4.3,5.5
2024-05-10 00:17:00,6.04,8.645,4.4,5.5
2024-05-10 00:18:00,5.82,8.495,4.2,5.2
2024-05-10 00:19:00,5.56,8.085,4.3,5.1
2024-05-10 00:20:00,5.32,7.765,3.8,4.6
2024-05-10 00:21:00,5.1,6.915,3.8,4.5
2024-05-10 00:22:00,4.91,6.325,3.6,4.3
2024-05-10 00:23:00,4.63,5.745,4,4.5
2024-05-10 00:24:00,4.61,5.565,4,4.5
2024-05-10 00:25:00,4.34,5.075,3.7,4.1
2024-05-10 00:26:00,4.07,4.585,3.7,4
2024-05-10 00:27:00,3.91,4.165,3.5,3.7
2024-05-10 00:28:00,3.86,3.815,3.7,3.9
2024-05-10 00:29:00,3.56,3.855,3.5,3.6
2024-05-10 00:30:00,3.43,3.605,3.4,3.4
2024-05-10 00:31:00,3.23,3.635,2.9,2.9
2024-05-10 00:32:00,2.97,3.225,3.1,2.9
2024-05-10 00:33:00,2.73,2.905,2.9,2.7
2024-05-10 00:34:00,2.37,2.515,2.8,2.4
2024-05-10 00:35:00,2.4,1.985,2.5,2.3
2024-05-10 00:36:00,2.18,1.925,2.7,2.3
2024-05-10 00:37:00,2.38,1.895,2.4,2.2
2024-05-10 00:38:00,2.93,2.175,2.8,2.8
2024-05-10 00:39:00,3.84,2.225,3.2,3.7
2024-05-10 00:40:00,4.39,3.295,3,3.8
2024-05-10 00:41:00,4.04,4.405,3,3.4
2024-05-10 00:42:00,3.79,4.795,2.1,2.6
2024-05-10 00:43:00,3.57,4.645,2,2.4
2024-05-10 00:44:00,3.29,4.775,1.5,1.8
2024-05-10 00:45:00,2.94,4.475,1,1.2
2024-05-10 00:46:00,2.77,3.965,0.9,1
2024-05-10 00:47:00,2.7,3.445,0.7,0.9
2024-05-10 00:48:00,2.27,3.235,0.3,0.4
2024-05-10 00:49:00,2.21,2.805,0.3,0.4
2024-05-10 00:50:00,1.95,2.395,0.1,0.1
2024-05-10 00:51:00,1.49,2.015,-0.2,-0.4
2024-05-10 00:52:00,0.95,1.735,-0.7,-1.1
2024-05-10 00:53:00,0.48,1.275,-0.9,-1.6
2024-05-10 00:54:00,0.17,1.225,-1.1,-1.9
2024-05-10 00:55:00,0.07,1.245,-1.2,-2.1
2024-05-10 00:56:00,-0.01,1.345,-1.8,-2.5
2024-05-10 00:57:00,-0.27,0.935,-1.7,-2.6
2024-05-10 00:58:00,-0.63,0.545,-1.9,-2.9
2024-05-10 00:59:00,-0.69,0.105,-2,-3
2024-05-10 01:00:00,-1.02,-0.105,-2,-3.2
2024-05-10 01:01:00,-1.29,-0.605,-2.1,-3.4
2024-05-10 01:02:00,-1.54,-0.925,-2.3,-3.7
2024-05-10 01:03:00,-1.86,-1.055,-2.7,-4.2
2024-05-10 01:04:00,-2.11,-1.375,-2.9,-4.5
2024-05-10 01:05:00,-2.26,-1.705,-2.7,-4.4
2024-05-10 01:06:00,-2.51,-2.115,-2.9,-4.7
2024-05-10 01:07:00,-2.67,-2.535,-3.2,-5
2024-05-10 01:08:00,-2.94,-3.025,-3.2,-5.1
2024-05-10 01:09:00,-3.01,-3.545,-3.1,-5
2024-05-10 01:10:00,-2.97,-3.995,-3.2,-5
2024-05-10 01:11:00,-2.73,-4.385,-3,-4.7
2024-05-10 01:12:00,-2.82,-5.075,-3,-4.7
2024-05-10 01:13:00,-2.69,-5.625,-2.9,-4.5
