Time,V(v),E.Y,E.Y.00,E.Y.01,E.Y.02,E.Y.03,E.Y.04,E.Y.05,E.Y.06,E.Y.07,E.Y.08,E.Y.09,E.Y.10,E.Y.11,E.Y.12,E.Y.13,E.Y.14,E.Y.15,E.Y.16,E.Y.17,E.Y.18,E.Y.19,E.Y.20,E.Y.21,E.Y.22,E.Y.23,E.Y.24,E.Y.25,E.Y.26,E.Y.27,E.X,E.X.00,E.X.01,E.X.02,E.X.03,E.X.04,E.X.05,E.X.06,E.X.07,E.X.08,E.X.09,E.X.10,E.X.11,E.X.12,E.X.13,E.X.14,E.X.15,E.X.16,E.X.17,E.X.18,E.X.19,E.X.20,E.X.21,E.X.22,E.X.23,E.X.24,E.X.25,E.X.26,E.X.27,V(v).00,V(v).01,V(v).02,V(v).03,V(v).04,V(v).05,V(v).06,V(v).07,V(v).08,V(v).09,V(v).10,V(v).11,V(v).12,V(v).13,V(v).14,V(v).15,V(v).16,V(v).17,V(v).18,V(v).19,V(v).20,V(v).21,V(v).22,V(v).23,V(v).24,V(v).25,V(v).26,V(v).27,Vt(v),U0,U1
2024-05-10 00:00:00,-181.873,-1115.2,-32.2273,-32.2273,-32.2273,-32.2273,-42.9298,-42.9298,-42.9298,-42.9298,-42.9298,-42.9298,-42.9298,-42.9298,-48.4284,-48.4284,-48.4284,-48.4284,-48.4284,-48.4284,-48.4284,-33.7616,-33.7616,-33.7616,-33.7616,-33.7616,-33.7616,-33.7616,-33.7616,-33.7616,134.159,4.33991,4.33991,4.33991,4.33991,5.30858,5.30858,5.30858,5.30858,5.30858,5.30858,5.30858,5.30858,4.9141,4.9141,4.9141,4.9141,4.9141,4.9141,4.9141,4.43691,4.43691,4.43691,4.43691,4.43691,4.43691,4.43691,4.43691,4.43691,-2.48962,-7.49959,-5.26448,-2.77257,-4.05218,-9.34468,-0.0363169,-1.07955,-3.21673,-8.57804,-6.45513,-2.71514,-4.83064,-12.2841,-11.0128,-12.4626,-0.807293,-3.16538,-15.3103,-8.30137,-6.69795,-11.3014,-13.9584,-7.78435,-10.4341,-10.2174,0.140624,0.058867,-154.453,14.13,-13.29
2024-05-10 00:01:00,-169.117,-1051.12,-31.3296,-31.3296,-31.3296,-31.3296,-39.9298,-39.9298,-39.9298,-39.9298,-39.9298,-39.9298,-39.9298,-39.9298,-44.0033,-44.0033,-44.0033,-44.0033,-44.0033,-44.0033,-44.0033,-33.149,-33.149,-33.149,-33.149,-33.149,-33.149,-33.149,-33.149,-33.149,145.504,3.38586,3.38586,3.38586,3.38586,2.97425,2.97425,2.97425,2.97425,2.97425,2.97425,2.97425,2.97425,6.89704,6.89704,6.89704,6.89704,6.89704,6.89704,6.89704,6.65412,6.65412,6.65412,6.65412,6.65412,6.65412,6.65412,6.65412,6.65412,-2.4418,-7.45678,-5.40486,-2.99103,-5.21712,-9.81737,-0.798617,-1.38984,-3.37942,-8.36745,-6.39389,-3.11126,-3.18012,-10.079,-9.52843,-10.4346,0.0262303,-1.05499,-11.8626,-7.95481,-6.33372,-11.0481,-13.585,-7.47597,-10.1435,-10.0147,0.210896,0.110785,-143.877,14.6,-10.64
2024-05-10 00:02:00,-159.219,-1007.79,-31.2493,-31.2493,-31.2493,-31.2493,-37.4906,-37.4906,-37.4906,-37.4906,-37.4906,-37.4906,-37.4906,-37.4906,-39.9677,-39.9677,-39.9677,-39.9677,-39.9677,-39.9677,-39.9677,-33.6774,-33.6774,-33.6774,-33.6774,-33.6774,-33.6774,-33.6774,-33.6774,-33.6774,163.77,2.12534,2.12534,2.12534,2.12534,-0.0248142,-0.0248142,-0.0248142,-0.0248142,-0.0248142,-0.0248142,-0.0248142,-0.0248142,9.8037,9.8037,9.8037,9.8037,9.8037,9.8037,9.8037,9.64905,9.64905,9.64905,9.64905,9.64905,9.64905,9.64905,9.64905,9.64905,-2.4679,-7.68723,-5.82228,-3.42765,-6.97641,-10.833,-1.84735,-1.85845,-3.72898,-8.41428,-6.56273,-3.76188,-1.12887,-7.57909,-7.95885,-8.18363,1.12948,1.69205,-7.79314,-7.83527,-6.12956,-11.1635,-13.6505,-7.385,-10.178,-10.1524,0.305817,0.179168,-135.649,15.86,-7.71
2024-05-10 00:03:00,-152.456,-953.518,-29.196,-29.196,-29.196,-29.196,-35.5914,-35.5914,-35.5914,-35.5914,-35.5914,-35.5914,-35.5914,-35.5914,-38.617,-38.617,-38.617,-38.617,-38.617,-38.617,-38.617,-31.2982,-31.2982,-31.2982,-31.2982,-31.2982,-31.2982,-31.2982,-31.2982,-31.2982,145.3,2.08055,2.08055,2.08055,2.08055,0.534593,0.534593,0.534593,0.534593,0.534593,0.534593,0.534593,0.534593,8.37856,8.37856,8.37856,8.37856,8.37856,8.37856,8.37856,8.22784,8.22784,8.22784,8.22784,8.22784,8.22784,8.22784,8.22784,8.22784,-2.30329,-7.16322,-5.40704,-3.16877,-6.21133,-9.96419,-1.53634,-1.65465,-3.42993,-7.87749,-6.11945,-3.40476,-1.63454,-7.80989,-7.9049,-8.30699,0.749599,0.815768,-8.45123,-7.34477,-5.77462,-10.3904,-12.7247,-6.91705,-9.49147,-9.44078,0.260773,0.149457,-129.766,14.72,-7.97
2024-05-10 00:04:00,-145.75,-888.329,-25.7646,-25.7646,-25.7646,-25.7646,-33.9504,-33.9504,-33.9504,-33.9504,-33.9504,-33.9504,-33.9504,-33.9504,-38.5715,-38.5715,-38.5715,-38.5715,-38.5715,-38.5715,-38.5715,-27.0741,-27.0741,-27.0741,-27.0741,-27.0741,-27.0741,-27.0741,-27.0741,-27.0741,106.49,3.22247,3.22247,3.22247,3.22247,3.73063,3.73063,3.73063,3.73063,3.73063,3.73063,3.73063,3.73063,4.12686,4.12686,4.12686,4.12686,4.12686,4.12686,4.12686,3.87411,3.87411,3.87411,3.87411,3.87411,3.87411,3.87411,3.87411,3.87411,-1.99675,-6.04492,-4.2939,-2.30428,-3.54948,-7.6582,-0.210869,-0.945607,-2.63619,-6.87643,-5.19779,-2.28675,-3.74156,-9.68907,-8.72945,-9.84816,-0.576454,-2.36165,-12.0147,-6.63008,-5.33783,-9.05615,-11.177,-6.21943,-8.35337,-8.19116,0.122786,0.0544952,-123.82,11.56,-10.37
2024-05-10 00:05:00,-140.183,-847.079,-24.1326,-24.1326,-24.1326,-24.1326,-32.6407,-32.6407,-32.6407,-32.6407,-32.6407,-32.6407,-32.6407,-32.6407,-37.6047,-37.6047,-37.6047,-37.6047,-37.6047,-37.6047,-37.6047,-25.1322,-25.1322,-25.1322,-25.1322,-25.1322,-25.1322,-25.1322,-25.1322,-25.1322,92.6207,3.48986,3.48986,3.48986,3.48986,4.59806,4.59806,4.59806,4.59806,4.59806,4.59806,4.59806,4.59806,2.73808,2.73808,2.73808,2.73808,2.73808,2.73808,2.73808,2.52336,2.52336,2.52336,2.52336,2.52336,2.52336,2.52336,2.52336,2.52336,-1.85809,-5.56804,-3.85949,-1.99099,-2.66661,-6.7829,0.191242,-0.710433,-2.3349,-6.41085,-4.79645,-1.89675,-4.28681,-10.0184,-8.7633,-10.0712,-0.963547,-3.26496,-12.7964,-6.24604,-5.0683,-8.42914,-10.4314,-5.8514,-7.80151,-7.61178,0.0799754,0.0258456,-119.033,10.34,-10.81
2024-05-10 00:06:00,-135.421,-834.405,-24.9425,-24.9425,-24.9425,-24.9425,-31.3722,-31.3722,-31.3722,-31.3722,-31.3722,-31.3722,-31.3722,-31.3722,-35.0965,-35.0965,-35.0965,-35.0965,-35.0965,-35.0965,-35.0965,-26.4423,-26.4423,-26.4423,-26.4423,-26.4423,-26.4423,-26.4423,-26.4423,-26.4423,113.244,2.29307,2.29307,2.29307,2.29307,1.73672,1.73672,1.73672,1.73672,1.73672,1.73672,1.73672,1.73672,5.77517,5.77517,5.77517,5.77517,5.77517,5.77517,5.77517,5.52801,5.52801,5.52801,5.52801,5.52801,5.52801,5.52801,5.52801,5.52801,-1.9544,-6.01683,-4.44166,-2.52411,-4.54162,-8.05742,-0.861232,-1.20987,-2.77358,-6.69302,-5.14274,-2.62353,-2.40012,-7.91685,-7.54588,-8.2223,0.106571,-0.636147,-9.2305,-6.32663,-5.02904,-8.80822,-10.825,-5.94743,-8.08161,-7.98684,0.175205,0.0934474,-115.141,12.04,-8.24
2024-05-10 00:07:00,-129.951,-815.347,-25.2156,-25.2156,-25.2156,-25.2156,-29.9481,-29.9481,-29.9481,-29.9481,-29.9481,-29.9481,-29.9481,-29.9481,-32.7485,-32.7485,-32.7485,-32.7485,-32.7485,-32.7485,-32.7485,-27.2956,-27.2956,-27.2956,-27.2956,-27.2956,-27.2956,-27.2956,-27.2956,-27.2956,129.422,1.34006,1.34006,1.34006,1.34006,-0.686881,-0.686881,-0.686881,-0.686881,-0.686881,-0.686881,-0.686881,-0.686881,8.30704,8.30704,8.30704,8.30704,8.30704,8.30704,8.30704,7.93412,7.93412,7.93412,7.93412,7.93412,7.93412,7.93412,7.93412,7.93412,-2.00107,-6.27768,-4.82725,-2.89888,-6.06488,-9.03603,-1.73555,-1.61561,-3.11042,-6.85358,-5.37488,-3.2041,-0.788669,-6.08806,-6.46738,-6.60522,1.01111,1.5917,-6.15455,-6.34081,-4.95602,-9.04568,-11.0578,-5.9773,-8.24425,-8.22771,0.251464,0.147835,-110.711,13.22,-6.02
2024-05-10 00:08:00,-125.593,-778.629,-23.442,-23.442,-23.442,-23.442,-29.0337,-29.0337,-29.0337,-29.0337,-29.0337,-29.0337,-29.0337,-29.0337,-32.3486,-32.3486,-32.3486,-32.3486,-32.3486,-32.3486,-32.3486,-25.1279,-25.1279,-25.1279,-25.1279,-25.1279,-25.1279,-25.1279,-25.1279,-25.1279,111.023,1.87503,1.87503,1.87503,1.87503,0.894267,0.894267,0.894267,0.894267,0.894267,0.894267,0.894267,0.894267,6.23322,6.23322,6.23322,6.23322,6.23322,6.23322,6.23322,5.85956,5.85956,5.85956,5.85956,5.85956,5.85956,5.85956,5.85956,5.85956,-1.84406,-5.71069,-4.27094,-2.47167,-4.72897,-7.86561,-1.07479,-1.25977,-2.70755,-6.33533,-4.90097,-2.64072,-1.75966,-6.89177,-6.77613,-7.24571,0.382587,0.0952775,-7.74098,-5.96043,-4.715,-8.35764,-10.2551,-5.60768,-7.65316,-7.58523,0.185713,0.102785,-106.853,11.64,-7.1
2024-05-10 00:09:00,-123.031,-742.106,-21.1602,-21.1602,-21.1602,-21.1602,-28.5271,-28.5271,-28.5271,-28.5271,-28.5271,-28.5271,-28.5271,-28.5271,-32.9788,-32.9788,-32.9788,-32.9788,-32.9788,-32.9788,-32.9788,-22.0441,-22.0441,-22.0441,-22.0441,-22.0441,-22.0441,-22.0441,-22.0441,-22.0441,80.977,3.04525,3.04525,3.04525,3.04525,3.94502,3.94502,3.94502,3.94502,3.94502,3.94502,3.94502,3.94502,2.41082,2.41082,2.41082,2.41082,2.41082,2.41082,2.41082,2.26223,2.26223,2.26223,2.26223,2.26223,2.26223,2.26223,2.26223,2.26223,-1.62961,-4.88516,-3.3892,-1.751,-2.38481,-5.97026,0.138482,-0.635354,-2.05516,-5.61749,-4.20659,-1.67967,-3.75473,-8.78175,-7.68342,-8.82886,-0.842033,-2.85617,-11.2142,-5.47438,-4.44036,-7.39237,-9.1471,-5.12884,-6.84074,-6.67611,0.0716992,0.0237981,-104.511,9.08,-9.44
