datetime,x,y,z
1989-03-11 00:00:00,16609,-4149,54676
1989-03-11 00:00:10,16610,-4147,54679
1989-03-11 00:00:20,16610,-4148,54679
1989-03-11 00:00:30,16610,-4147,54678
1989-03-11 00:00:40,16611,-4148,54677
1989-03-11 00:00:50,16610,-4146,54679
1989-03-11 00:01:00,16610,-4147,54679
1989-03-11 00:01:10,16610,-4147,54679
1989-03-11 00:01:20,16611,-4147,54679
1989-03-11 00:01:30,16610,-4146,54680
1989-03-11 00:01:40,16611,-4149,54676
1989-03-11 00:01:50,16610,-4148,54678
1989-03-11 00:02:00,16610,-4149,54677
1989-03-11 00:02:10,16611,-4149,54676
1989-03-11 00:02:20,16610,-4150,54676
1989-03-11 00:02:30,16610,-4150,54676
1989-03-11 00:02:40,16610,-4150,54676
1989-03-11 00:02:50,16608,-4150,54677
1989-03-11 00:03:00,16610,-4150,54676
1989-03-11 00:03:10,16610,-4149,54678
1989-03-11 00:03:20,16609,-4151,54676
1989-03-11 00:03:30,16609,-4149,54679
1989-03-11 00:03:40,16609,-4151,54676
1989-03-11 00:03:50,16609,-4148,54679
1989-03-11 00:04:00,16609,-4151,54676
1989-03-11 00:04:10,16610,-4149,54678
1989-03-11 00:04:20,16609,-4150,54677
1989-03-11 00:04:30,16610,-4150,54677
1989-03-11 00:04:40,16610,-4149,54679
1989-03-11 00:04:50,16610,-4151,54676
1989-03-11 00:05:00,16610,-4149,54679
1989-03-11 00:05:10,16610,-4150,54678
1989-03-11 00:05:20,16610,-4150,54678
1989-03-11 00:05:30,16610,-4151,54676
1989-03-11 00:05:40,16609,-4151,54677
1989-03-11 00:05:50,16609,-4150,54678
1989-03-11 00:06:00,16609,-4150,54677
1989-03-11 00:06:10,16609,-4150,54678
1989-03-11 00:06:20,16610,-4151,54677
1989-03-11 00:06:30,16609,-4150,54678
1989-03-11 00:06:40,16610,-4152,54676
1989-03-11 00:06:50,16610,-4152,54676
1989-03-11 00:07:00,16610,-4152,54677
1989-03-11 00:07:10,16610,-4151,54679
1989-03-11 00:07:20,16609,-4152,54677
1989-03-11 00:07:30,16610,-4151,54678
1989-03-11 00:07:40,16609,-4151,54679
1989-03-11 00:07:50,16609,-4153,54676
1989-03-11 00:08:00,16609,-4151,54679
1989-03-11 00:08:10,16609,-4153,54676
1989-03-11 00:08:20,16610,-4153,54677
1989-03-11 00:08:30,16610,-4153,54677
1989-03-11 00:08:40,16611,-4153,54677
1989-03-11 00:08:50,16611,-4152,54677
1989-03-11 00:09:00,16612,-4152,54676
1989-03-11 00:09:10,16611,-4150,54679
1989-03-11 00:09:20,16611,-4151,54678
1989-03-11 00:09:30,16610,-4150,54678
1989-03-11 00:09:40,16611,-4149,54679
1989-03-11 00:09:50,16612,-4151,54677
1989-03-11 00:10:00,16611,-4151,54678
1989-03-11 00:10:10,16611,-4150,54678
1989-03-11 00:10:20,16610,-4149,54679
1989-03-11 00:10:30,16610,-4150,54679
1989-03-11 00:10:40,16610,-4152,54676
1989-03-11 00:10:50,16611,-4151,54677
