D,Time,dT
9.878424579379226,1958-02-10 10:09:21.730244,-6638.269756260479
9.892135831024014,1958-02-10 10:13:57.151498,-6362.848502084126
9.891448924116386,1958-02-10 10:18:45.383043,-6074.616957015849
9.892305606310842,1958-02-10 10:23:33.614588,-5786.385411947573
9.904918630844792,1958-02-10 10:28:15.440988,-5504.559012325257
9.90951969289651,1958-02-10 10:32:57.267387,-5222.732612702944
9.909714836904358,1958-02-10 10:37:45.498932,-4934.5010676346665
9.915785983815201,1958-02-10 10:42:27.325332,-4652.674668012351
9.913789010134884,1958-02-10 10:47:34.772313,-4345.227686606189
9.902967190766308,1958-02-10 10:52:35.814149,-4044.185850645987
9.905910070818,1958-02-10 10:57:11.235404,-3768.7645964696344
9.900907337350128,1958-02-10 11:02:12.277239,-3467.7227605094345
9.905308051553789,1958-02-10 11:06:47.698494,-3192.3015063330813
9.92137453649711,1958-02-10 11:11:27.694852,-2912.3051482667556
9.925985510625416,1958-02-10 11:16:24.161584,-2615.8384161965287
9.91791630590088,1958-02-10 11:21:19.598917,-2320.4010825015444
9.915886808219255,1958-02-10 11:25:39.007308,-2060.9926919400946
9.91775043349421,1958-02-10 11:30:48.856219,-1751.1437809916983
9.915431007572353,1958-02-10 11:35:45.322951,-1454.6770489214696
9.922550976087283,1958-02-10 11:40:25.319309,-1174.6806908551434
9.921864069179657,1958-02-10 11:45:13.550854,-886.4491457868666
9.924404844161844,1958-02-10 11:49:52.174681,-607.8253188875319
9.921657650184688,1958-02-10 11:54:37.203653,-322.7963465422388
9.927747382239135,1958-02-10 11:59:46.480676,-13.519323580086834
9.927936950703902,1958-02-10 12:04:26.477034,266.4770344862415
9.924357452045653,1958-02-10 12:09:22.943767,562.9437665564687
9.927702777894485,1958-02-10 12:14:11.175312,851.1753116247456
9.934696739135775,1958-02-10 12:18:51.171670,1131.171669691071
9.937538035890048,1958-02-10 12:23:39.403215,1419.4032147593464
9.949199841799077,1958-02-10 12:28:27.634760,1707.634759827625
9.960420622250366,1958-02-10 12:33:15.866305,1995.8663048959006
9.979216893086335,1958-02-10 12:39:59.390468,2399.390467991488
9.982499215298347,1958-02-10 12:44:47.622013,2687.6220130597635
9.977007305363182,1958-02-10 12:49:11.147997,2951.1479971221884
9.97684003907074,1958-02-10 12:54:45.702469,3285.7024690764406
9.974277147767664,1958-02-10 12:59:31.532085,3571.532084602478
9.960581755445418,1958-02-10 13:03:35.842632,3815.842632327018
9.964951866112608,1958-02-10 13:08:48.779738,4128.77973840115
9.981023926599013,1958-02-10 13:13:37.011283,4417.0112834694255
9.982382128893638,1958-02-10 13:18:06.027392,4686.0273921998205
9.97892807995472,1958-02-10 13:23:32.689810,5012.689809943864
9.98206339368082,1958-02-10 13:28:20.921355,5300.921355012139
9.974888598992255,1958-02-10 13:32:40.329746,5560.329745573589
9.9661227301597,1958-02-10 13:37:38.169009,5858.169008810809
9.957056339555058,1958-02-10 13:42:26.400554,6146.400553879087
9.957251483562906,1958-02-10 13:47:14.632099,6434.6320989473625
9.970677391302884,1958-02-10 13:52:02.863644,6722.863644015639
9.982479700897562,1958-02-10 13:56:41.487471,7001.487470914973
9.985628024224185,1958-02-10 14:01:48.934452,7308.934452321136
9.988972420815836,1958-02-10 14:06:35.793466,7595.793466222421
9.981227526847201,1958-02-10 14:11:06.182106,7866.1821061198025
9.984014833759304,1958-02-10 14:16:23.236806,8183.236805694906
9.994676201388096,1958-02-10 14:20:59.458703,8459.458703052005
9.999092960765733,1958-02-10 14:25:40.484459,8740.484459493577
9.998566071944543,1958-02-10 14:30:47.931441,9047.93144089974
9.999336240295518,1958-02-10 14:35:16.947550,9316.94754963013
9.993561712276604,1958-02-10 14:40:17.989386,9617.989385590332
9.991788070071937,1958-02-10 14:44:53.410640,9893.410639766684
9.991983214079786,1958-02-10 14:49:41.642185,10181.642184834962
9.989244693169644,1958-02-10 14:54:39.481448,10479.481448072182
9.98102727192486,1958-02-10 14:59:09.870088,10749.870087969564
9.979889164193374,1958-02-10 15:04:06.336820,11046.336820039793
9.963349083328145,1958-02-10 15:08:35.352929,11315.352928770186
9.94518117619745,1958-02-10 15:13:42.799910,11622.799910176347
9.94023102319836,1958-02-10 15:18:31.031455,11911.031455244618
9.946600523614535,1958-02-10 15:23:19.263000,12199.263000312902
9.956939253150349,1958-02-10 15:28:07.494545,12487.494545381174
9.953165168038558,1958-02-10 15:32:55.726090,12775.72609044945
9.942775701060704,1958-02-10 15:37:43.957636,13063.957635517729
9.936796488660224,1958-02-10 15:42:32.189181,13352.189180586007
9.937873683583549,1958-02-10 15:47:20.420726,13640.42072565428
9.935723196617058,1958-02-10 15:52:18.259989,13938.259988891497
9.926897808862108,1958-02-10 15:56:42.472239,14202.472238537423
9.943450899327859,1958-02-10 16:01:35.507643,14495.507642690172
9.94659271785422,1958-02-10 16:06:33.346906,14793.346905927392
9.942390616885215,1958-02-10 16:11:40.793887,15100.79388733355
9.928776069937651,1958-02-10 16:15:48.192630,15348.19263018382
9.925055324188005,1958-02-10 16:19:12.356641,15552.35664127385
9.938461717527199,1958-02-10 16:23:31.765032,15811.765031835295
9.94440320208616,1958-02-10 16:28:39.212013,16119.212013241457
9.942546732091493,1958-02-10 16:33:37.051276,16417.051276478684
9.921388785107208,1958-02-10 16:37:30.839085,16650.839085256284
9.911431670520075,1958-02-10 16:42:06.260339,16926.260339432636
9.915898733686403,1958-02-10 16:47:07.302175,17227.30217539283
9.904861171775815,1958-02-10 16:51:21.106064,17481.106063689072
9.890586387601696,1958-02-10 16:54:43.897544,17683.89754361211
9.887542141079258,1958-02-10 16:59:16.688113,17956.688113051725
9.896015727553392,1958-02-10 17:04:18.530592,18258.530592192674
9.911421913319682,1958-02-10 17:09:00.356992,18540.356991814984
9.916247824633777,1958-02-10 17:13:48.588537,18828.588536883268
9.918570038327173,1958-02-10 17:16:41.527464,19001.527463924234
9.888839848731452,1958-02-10 17:17:39.173773,19059.173772937884
9.86719512586092,1958-02-10 17:18:36.820082,19116.82008195154
9.844854389362396,1958-02-10 17:20:32.112700,19232.112699978854
9.809991912360259,1958-02-10 17:21:48.974445,19308.9744453304
9.785747708685179,1958-02-10 17:24:22.697936,19462.697936033474
9.758733157041535,1958-02-10 17:29:10.929481,19750.92948110175
