Time,H,dT
1958-02-10 09:13:00,16027.186406785808,-10015.597456670788
1958-02-10 09:13:20,16027.343045305046,-9995.951469154572
1958-02-10 09:13:40,16027.499683824286,-9976.305481638356
1958-02-10 09:14:00,16027.656322343524,-9956.659494122137
1958-02-10 09:14:20,16027.812960862762,-9937.013506605921
1958-02-10 09:14:40,16027.969599382,-9917.367519089705
1958-02-10 09:15:00,16028.12623790124,-9897.721531573488
1958-02-10 09:15:20,16028.282876420479,-9878.075544057272
1958-02-10 09:15:40,16028.439514939717,-9858.429556541054
1958-02-10 09:16:00,16028.596153458957,-9838.783569024838
1958-02-10 09:16:20,16028.752791978195,-9819.137581508621
1958-02-10 09:16:40,16028.909430497433,-9799.491593992405
1958-02-10 09:17:00,16029.066069016673,-9779.845606476187
1958-02-10 09:17:20,16029.136784081325,-9760.000000447979
1958-02-10 09:17:40,16029.141042061887,-9740.000000438506
1958-02-10 09:18:00,16029.145300042446,-9720.000000429032
1958-02-10 09:18:20,16029.149558023008,-9700.000000419559
1958-02-10 09:18:40,16029.153816003569,-9680.000000410086
1958-02-10 09:19:00,16029.15807398413,-9660.00000040061
1958-02-10 09:19:20,16029.162331964691,-9640.000000391137
1958-02-10 09:19:40,16029.166589945251,-9620.000000381664
1958-02-10 09:20:00,16029.170847925812,-9600.00000037219
1958-02-10 09:20:20,16029.175105906374,-9580.000000362717
1958-02-10 09:20:40,16029.179363886935,-9560.000000353244
1958-02-10 09:21:00,16029.183621867496,-9540.00000034377
1958-02-10 09:21:20,16029.187879848056,-9520.000000334296
1958-02-10 09:21:40,16029.192137828617,-9500.000000324822
1958-02-10 09:22:00,16029.196395809178,-9480.00000031535
1958-02-10 09:22:20,16029.20065378974,-9460.000000305876
1958-02-10 09:22:40,16029.204911770299,-9440.000000296403
1958-02-10 09:23:00,16029.20916975086,-9420.00000028693
1958-02-10 09:23:20,16029.213427731422,-9400.000000277456
1958-02-10 09:23:40,16029.217685711983,-9380.000000267983
1958-02-10 09:24:00,16029.221943692542,-9360.00000025851
1958-02-10 09:24:20,16029.226201673104,-9340.000000249036
1958-02-10 09:24:40,16029.230459653665,-9320.000000239563
1958-02-10 09:25:00,16029.234717634226,-9300.00000023009
1958-02-10 09:25:20,16029.238975614786,-9280.000000220616
1958-02-10 09:25:40,16029.262965485397,-9260.000000206086
1958-02-10 09:26:00,16029.28921434244,-9240.00000019098
1958-02-10 09:26:20,16029.315463199484,-9220.00000017587
1958-02-10 09:26:40,16029.341712056526,-9200.000000160764
1958-02-10 09:27:00,16029.36796091357,-9180.000000145656
1958-02-10 09:27:20,16029.394209770613,-9160.000000130549
1958-02-10 09:27:40,16029.420458627657,-9140.00000011544
1958-02-10 09:28:00,16029.4467074847,-9120.000000100334
1958-02-10 09:28:20,16029.472956341742,-9100.000000085225
1958-02-10 09:28:40,16029.499205198787,-9080.000000070118
1958-02-10 09:29:00,16029.525454055829,-9060.00000005501
1958-02-10 09:29:20,16029.551702912873,-9040.000000039903
1958-02-10 09:29:40,16029.603598023194,-9020.000000024276
1958-02-10 09:30:00,16029.674008640377,-9000.000000008276
1958-02-10 09:30:20,16029.74441925756,-8979.999999992277
1958-02-10 09:30:40,16029.814829874744,-8959.999999976275
1958-02-10 09:31:00,16029.885240491925,-8939.999999960275
1958-02-10 09:31:20,16029.955651109109,-8919.999999944273
1958-02-10 09:31:40,16030.026061726292,-8899.999999928274
1958-02-10 09:32:00,16030.096472343475,-8879.999999912272
1958-02-10 09:32:20,16030.166882960659,-8859.999999896272
1958-02-10 09:32:40,16030.237293577842,-8839.99999988027
1958-02-10 09:33:00,16030.307704195024,-8819.99999986427
