H,Time,dT
16027.186406785808,1958-02-10 09:08:42.704621,-10277.295379259358
16029.134383115936,1958-02-10 09:12:42.197603,-10037.802397405823
16029.186898063337,1958-02-10 09:16:43.990243,-9796.00975729032
16029.239413010737,1958-02-10 09:20:45.782883,-9554.217117174816
16029.56270815567,1958-02-10 09:24:47.247000,-9312.752999668162
16030.427563695668,1958-02-10 09:28:48.054073,-9071.945927379218
16029.70360763508,1958-02-10 09:32:37.832172,-8842.167828387466
16023.808054575862,1958-02-10 09:36:17.473002,-8622.526998468878
16032.702117354944,1958-02-10 09:37:04.123212,-8575.87678801181
16026.252625377345,1958-02-10 09:40:58.688355,-8341.311645291065
16023.784422849532,1958-02-10 09:45:33.771286,-8066.228714145164
16024.909117973022,1958-02-10 09:48:43.876369,-7876.1236311558005
16021.265346466425,1958-02-10 09:53:10.308205,-7609.691795376352
16021.047081216293,1958-02-10 09:57:12.429367,-7367.570632651997
16021.406245945833,1958-02-10 10:01:00.893376,-7139.106624095655
16016.190386348682,1958-02-10 10:04:34.526935,-6925.4730647389415
16020.379156729045,1958-02-10 10:08:18.344695,-6701.6553045078
16026.118055824632,1958-02-10 10:12:13.238361,-6466.761639178203
16026.346714658104,1958-02-10 10:15:54.662599,-6245.337400811556
16019.882999882253,1958-02-10 10:18:43.742235,-6076.257764788758
16021.375299637544,1958-02-10 10:22:23.633368,-5856.3666319300955
16017.366111621954,1958-02-10 10:26:30.353847,-5609.646152681802
16017.147846371821,1958-02-10 10:30:32.475010,-5367.524989957446
16017.200361319221,1958-02-10 10:34:34.267650,-5125.732349841943
16017.252876266622,1958-02-10 10:38:36.060290,-4883.939709726439
16017.305391214022,1958-02-10 10:42:37.852930,-4642.1470696109345
16017.664555943564,1958-02-10 10:46:26.316939,-4413.683061054592
16018.136877881192,1958-02-10 10:51:00.711537,-4139.288462993906
16017.462936056223,1958-02-10 10:54:43.230851,-3916.769149264423
16017.515451003623,1958-02-10 10:58:45.023491,-3674.976509148919
16020.004987728818,1958-02-10 11:02:43.859427,-3436.140572513087
16023.24877038605,1958-02-10 11:06:23.641053,-3216.358947190706
16014.17156172791,1958-02-10 11:08:11.396469,-3108.6035314870587
16017.686124582673,1958-02-10 11:11:50.849571,-2889.15042877353
16017.738639530075,1958-02-10 11:15:52.642211,-2647.357788658026
16017.791154477474,1958-02-10 11:19:54.434851,-2405.565148542522
16017.843669424874,1958-02-10 11:23:56.227492,-2163.772508427016
16018.437744767341,1958-02-10 11:27:57.363086,-1922.6369135292173
16021.468841887601,1958-02-10 11:31:55.541978,-1684.4580221110923
16023.958378612795,1958-02-10 11:35:54.377915,-1445.6220854752607
16026.989475733057,1958-02-10 11:39:52.556806,-1207.4431940571358
16028.97246202812,1958-02-10 11:46:33.244881,-806.7551187932635
16028.103777273205,1958-02-10 11:51:09.266448,-530.7335516220734
16027.222276370416,1958-02-10 11:54:46.279097,-313.72090257430625
16022.31587985616,1958-02-10 11:58:19.537202,-100.4627976277115
16025.38284656103,1958-02-10 12:02:04.715985,124.7159848401036
16027.777746974763,1958-02-10 12:05:43.512042,343.51204233593074
16021.31403219891,1958-02-10 12:08:32.591678,512.5916783587247
16023.116732804014,1958-02-10 12:12:16.425083,736.4250825236203
16015.237615160135,1958-02-10 12:13:22.129604,802.1296042941383
16024.718438699723,1958-02-10 12:16:24.975902,984.9759020212343
16028.056185602125,1958-02-10 12:20:09.826162,1209.8261618801978
16032.924649444552,1958-02-10 12:23:47.636652,1427.6366515494615
16025.14718573457,1958-02-10 12:25:33.815159,1533.81515873062
16028.079707922314,1958-02-10 12:28:53.819723,1733.819723000073
16022.338073673216,1958-02-10 12:31:42.023299,1902.0232987325974
16025.816094877082,1958-02-10 12:35:19.505266,2119.5052657930128
16027.493291009678,1958-02-10 12:39:19.326770,2359.3267702554
16028.471381905008,1958-02-10 12:43:07.039870,2587.0398699915077
16030.484454888685,1958-02-10 12:47:09.333116,2829.3331159871686
16024.130693283952,1958-02-10 12:51:28.975485,3088.9754845169973
16023.370867638754,1958-02-10 12:55:31.753692,3331.7536924590568
16025.048063771352,1958-02-10 12:59:31.575197,3571.575196921447
16029.703842076808,1958-02-10 13:03:27.782953,3807.782952686455
16033.276499592135,1958-02-10 13:07:25.304799,4045.3047988868766
16033.329014539535,1958-02-10 13:11:27.097439,4287.09743900238
16033.381529486935,1958-02-10 13:15:28.890079,4528.890079117884
16033.429668188719,1958-02-10 13:19:10.533333,4750.533332557098
16027.326993676243,1958-02-10 13:21:59.174938,4919.174938434759
16032.97125646037,1958-02-10 13:25:34.028725,5134.028724624353
16039.522496148556,1958-02-10 13:29:27.936822,5367.936822127392
16042.282813071284,1958-02-10 13:33:26.444236,5606.444236154372
16042.335328018684,1958-02-10 13:37:28.236876,5848.236876269873
16042.36814986081,1958-02-10 13:39:59.357276,5999.3572763420625
16044.238994861944,1958-02-10 13:44:59.407926,6299.407925760758
16043.269343868875,1958-02-10 13:49:45.629338,6585.629337740142
16041.462267018154,1958-02-10 13:53:36.721527,6816.721527167296
16038.265419595162,1958-02-10 13:57:42.456439,7062.456438589037
16038.317934542561,1958-02-10 14:01:44.249079,7304.249078704538
16038.370449489963,1958-02-10 14:05:46.041719,7546.041718820045
16038.422964437363,1958-02-10 14:09:47.834359,7787.834358935543
16041.454061557622,1958-02-10 14:13:46.013250,8026.013250353674
16046.10983986308,1958-02-10 14:17:42.221006,8262.22100611868
16044.537673625284,1958-02-10 14:21:45.984782,8505.984781887299
16046.932574039018,1958-02-10 14:25:24.780839,8724.78083938313
16041.19093978992,1958-02-10 14:28:12.984415,8892.984415115656
16043.044279808588,1958-02-10 14:31:52.437518,9112.437517829181
16043.096794755988,1958-02-10 14:35:54.230158,9354.23015794468
16043.961650295987,1958-02-10 14:39:55.037230,9595.037230233625
16047.168891302319,1958-02-10 14:43:32.847720,9812.847719902893
16044.31120291462,1958-02-10 14:45:57.397668,9957.397667798037
16043.43814191409,1958-02-10 14:50:13.269848,10213.269848292925
16043.333112019289,1958-02-10 14:54:02.297038,10442.297038464452
16043.38562696669,1958-02-10 14:58:04.089679,10684.089678579956
16043.43814191409,1958-02-10 15:02:05.882319,10925.88231869546
16043.219876663958,1958-02-10 15:06:08.003481,11168.003481419817
16039.210688648367,1958-02-10 15:10:14.723961,11414.723960668109
16041.429445176029,1958-02-10 15:14:13.888420,11653.888419912788
16046.897564074085,1958-02-10 15:18:09.110608,11889.110607851242
16048.033199811614,1958-02-10 15:22:09.589158,12129.589157531333
16052.63088345651,1958-02-10 15:25:47.728170,12347.728169809454
16044.853419746527,1958-02-10 15:27:33.906677,12453.906676990608
16047.785941934273,1958-02-10 15:30:53.911241,12653.91124126006
16042.044307685173,1958-02-10 15:33:42.114817,12822.114816992598
16047.688570469301,1958-02-10 15:37:16.968603,13036.968603182186
16053.678556657145,1958-02-10 15:39:40.861506,13180.861505859611
16054.28247855225,1958-02-10 15:44:27.333221,13467.333220779072
16053.187166792186,1958-02-10 15:49:28.823112,13768.823112103219
16047.627850061368,1958-02-10 15:53:24.467686,14004.46768625305
16047.68036500877,1958-02-10 15:57:26.260326,14246.260326368554
16050.71146212903,1958-02-10 16:01:24.439218,14484.439217786681
16052.77267381449,1958-02-10 16:05:10.838227,14710.838227087374
16046.937888051552,1958-02-10 16:08:45.222695,14925.22269526432
16047.606515863989,1958-02-10 16:12:33.311249,15153.311249410546
16050.366832786714,1958-02-10 16:16:31.818663,15391.818663437522
16053.93949030204,1958-02-10 16:20:29.340510,15629.340509637948
16056.735676809378,1958-02-10 16:24:14.847815,15854.847814714612
16052.448206460911,1958-02-10 16:27:47.355011,16067.35501084097
16053.267189569176,1958-02-10 16:31:15.106451,16275.106451105847
16046.442434529949,1958-02-10 16:34:04.624117,16444.624117273786
16044.898057451817,1958-02-10 16:37:30.060255,16650.060255342938
16037.120593741834,1958-02-10 16:39:16.238763,16756.23876252409
16051.893048445536,1958-02-10 16:42:11.801245,16931.801244694914
16069.682486877384,1958-02-10 16:43:51.146482,17031.146481611933
16135.29663146983,1958-02-10 16:49:04.557050,17344.557050457304
16149.958148347148,1958-02-10 16:51:48.161310,17508.16130966589
16134.89292281169,1958-02-10 16:59:39.919776,17979.919775978207
16114.333320904478,1958-02-10 17:01:35.559734,18095.559734294315
16095.944336823144,1958-02-10 17:03:48.720898,18228.7208984159
16079.719406199263,1958-02-10 17:05:49.179188,18349.17918832852
16060.242925082182,1958-02-10 17:07:43.505056,18463.50505620922
16038.078335095048,1958-02-10 17:11:11.788390,18671.788390221755
16028.165044711839,1958-02-10 17:12:34.357073,18754.35707258004
