Time,H,dT
1958-02-10 09:26:00,15939.27485940655,-9238.849289013675
1958-02-10 09:26:20,15939.288582158839,-9218.883145832211
1958-02-10 09:26:40,15939.302304911127,-9198.917002650747
1958-02-10 09:27:00,15939.316027663415,-9178.950859469283
1958-02-10 09:27:20,15939.329750415704,-9158.98471628782
1958-02-10 09:27:40,15939.343473167994,-9139.018573106356
1958-02-10 09:28:00,15939.357195920282,-9119.052429924892
1958-02-10 09:28:20,15939.37091867257,-9099.086286743428
1958-02-10 09:28:40,15939.384641424858,-9079.120143561964
1958-02-10 09:29:00,15939.398364177147,-9059.1540003805
1958-02-10 09:29:20,15939.412086929435,-9039.187857199036
1958-02-10 09:29:40,15939.425809681723,-9019.221714017573
1958-02-10 09:30:00,15939.439532434011,-8999.255570836109
1958-02-10 09:30:20,15939.453255186301,-8979.289427654647
1958-02-10 09:30:40,15939.46697793859,-8959.323284473183
1958-02-10 09:31:00,15939.480700690878,-8939.357141291719
1958-02-10 09:31:20,15939.494423443166,-8919.390998110255
1958-02-10 09:31:40,15939.508146195454,-8899.424854928791
1958-02-10 09:32:00,15939.521868947742,-8879.458711747327
1958-02-10 09:32:20,15939.53559170003,-8859.492568565864
1958-02-10 09:32:40,15939.549314452319,-8839.5264253844
1958-02-10 09:33:00,15939.563037204607,-8819.560282202936
1958-02-10 09:33:20,15939.576759956897,-8799.594139021472
1958-02-10 09:33:40,15939.590482709185,-8779.627995840008
1958-02-10 09:34:00,15939.604205461474,-8759.661852658544
1958-02-10 09:34:20,15939.617928213762,-8739.69570947708
1958-02-10 09:34:40,15939.63165096605,-8719.729566295617
1958-02-10 09:35:00,15939.645373718338,-8699.763423114153
1958-02-10 09:35:20,15939.659096470627,-8679.797279932689
1958-02-10 09:35:40,15939.672819222915,-8659.831136751225
1958-02-10 09:36:00,15939.686541975205,-8639.864993569761
1958-02-10 09:36:20,15939.700264727493,-8619.898850388297
1958-02-10 09:36:40,15939.713987479781,-8599.932707206834
1958-02-10 09:37:00,15939.72771023207,-8579.96656402537
1958-02-10 09:37:20,15939.742649241494,-8560.000000355798
1958-02-10 09:37:40,15939.854302453368,-8540.000000358592
1958-02-10 09:38:00,15939.965955665242,-8520.000000361384
1958-02-10 09:38:20,15940.077608877116,-8500.000000364178
1958-02-10 09:38:40,15940.18926208899,-8480.000000366972
1958-02-10 09:39:00,15940.300915300864,-8460.000000369764
1958-02-10 09:39:20,15940.412568512738,-8440.000000372558
1958-02-10 09:39:40,15940.524221724612,-8420.000000375352
1958-02-10 09:40:00,15940.635874936486,-8400.000000378146
1958-02-10 09:40:20,15940.74752814836,-8380.000000380938
1958-02-10 09:40:40,15940.859181360234,-8360.000000383732
1958-02-10 09:41:00,15940.970834572108,-8340.000000386526
1958-02-10 09:41:20,15941.082487783982,-8320.00000038932
1958-02-10 09:41:40,15941.194140995856,-8300.000000392112
1958-02-10 09:42:00,15941.30579420773,-8280.000000394906
1958-02-10 09:42:20,15941.417447419604,-8260.0000003977
1958-02-10 09:42:40,15941.529100631478,-8240.000000400494
1958-02-10 09:43:00,15941.640753843352,-8220.000000403286
1958-02-10 09:43:20,15941.752407055226,-8200.00000040608
