H,Time,dT
15939.27485940655,1958-02-10 09:26:01.150711,-9238.849289013675
15939.741262553263,1958-02-10 09:37:19.751608,-8560.248392355763
15943.742808723886,1958-02-10 09:49:16.532810,-7843.467190471879
15942.497083936843,1958-02-10 09:59:23.946756,-7236.053243694988
15932.85028260407,1958-02-10 10:11:29.817883,-6510.182116656103
15931.722020852418,1958-02-10 10:22:08.221402,-5871.7785979530845
15931.833379123105,1958-02-10 10:33:13.855403,-5206.144597409656
15935.640440002253,1958-02-10 10:43:22.759233,-4597.240767367085
15935.767616209117,1958-02-10 10:56:02.943517,-3837.05648265556
15942.272526762894,1958-02-10 11:06:30.757404,-3209.2425957793666
15937.926990467833,1958-02-10 11:17:49.358301,-2530.6416991214555
15934.373697492012,1958-02-10 11:29:26.401005,-1833.5989946562786
15939.90769737125,1958-02-10 11:39:22.445997,-1237.5540032605754
15934.435113265543,1958-02-10 11:51:06.032813,-533.9671868966864
15946.312991356297,1958-02-10 12:02:17.081061,137.0810614980533
15941.27183618718,1958-02-10 12:12:44.390680,764.3906801920135
15942.827477483761,1958-02-10 12:24:10.195408,1450.1954080246342
15943.837064450247,1958-02-10 12:35:15.829409,2115.829408568066
15943.050194025136,1958-02-10 12:46:21.463409,2781.4634091114945
15943.386109469773,1958-02-10 12:57:27.097410,3447.097409654923
15943.497467740463,1958-02-10 13:08:32.731410,4112.731410198352
15944.282497532999,1958-02-10 13:19:38.365411,4778.365410741781
15945.516641673434,1958-02-10 13:30:43.999411,5443.999411285209
15945.85255711807,1958-02-10 13:41:49.633412,6109.633411828638
15948.653539736575,1958-02-10 13:52:25.011321,6745.011321438276
15948.76995974684,1958-02-10 14:04:00.901413,7440.901412915499
15948.88131801753,1958-02-10 14:15:06.535413,8106.535413458928
15948.992676288217,1958-02-10 14:26:12.169414,8772.16941400236
15949.104034558904,1958-02-10 14:37:17.803415,9437.803414545786
15949.215392829592,1958-02-10 14:48:23.437415,10103.437415089214
15948.653079578433,1958-02-10 14:59:29.071416,10769.071415632645
15948.539880675171,1958-02-10 15:10:34.705416,11434.70541617607
15947.079338728214,1958-02-10 15:21:40.339417,12100.339416719497
15948.313482868649,1958-02-10 15:32:45.973417,12765.973417262927
15949.772184183033,1958-02-10 15:43:51.607418,13431.607417806357
15949.633492518631,1958-02-10 15:54:39.087764,14079.087763789514
15950.219457898358,1958-02-10 16:06:02.875419,14762.875418893214
15950.106258995098,1958-02-10 16:17:08.509419,15428.509419436645
15948.645717048139,1958-02-10 16:28:14.143420,16094.143419980077
15950.328975536473,1958-02-10 16:39:19.777421,16759.777420523507
15947.970204893718,1958-02-10 16:50:25.411421,17425.411421066936
15959.758536209776,1958-02-10 17:01:31.045422,18091.045421610364
15986.816755354397,1958-02-10 17:12:36.679422,18756.679422153793
15955.714666446112,1958-02-10 17:23:42.313423,19422.31342269722
15952.45766710756,1958-02-10 17:34:47.947423,20087.94742324065
15949.874339290855,1958-02-10 17:45:53.581424,20753.58142378408
15939.20695321197,1958-02-10 17:56:59.215424,21419.215424327507
15937.429975848441,1958-02-10 18:08:14.934789,22094.93478851553
15941.45068431889,1958-02-10 18:19:10.483425,22750.483425414364
15942.235714111426,1958-02-10 18:30:16.117426,23416.117425957793
15938.978714772873,1958-02-10 18:41:21.751427,24081.75142650122
15940.661973261207,1958-02-10 18:52:27.385427,24747.38542704465
15939.018518452272,1958-02-10 19:03:58.232837,25438.23283669957
15932.124623831058,1958-02-10 19:14:24.689078,26064.68907846976
15941.292083145487,1958-02-10 19:25:24.116701,26724.116701385745
15931.591973081753,1958-02-10 19:37:03.885779,27423.885778880125
15904.107551716877,1958-02-10 19:45:58.090606,27958.090606136484
15933.889365707544,1958-02-10 19:55:59.652885,28559.652884702467
15940.063767674867,1958-02-10 20:07:05.286885,29225.286885245907
15929.804633900752,1958-02-10 20:18:35.125759,29915.125758536364
15932.462722077145,1958-02-10 20:29:06.469523,30546.46952268817
15932.9874557466,1958-02-10 20:40:22.188887,31222.188886876196
15918.278040536625,1958-02-10 20:51:27.822887,31887.82288741962
15924.317708199576,1958-02-10 21:02:33.456888,32553.456887963046
15921.403813599947,1958-02-10 21:13:21.293188,33201.29318795719
15930.958541799593,1958-02-10 21:24:19.511480,33859.51147993842
15933.544247100039,1958-02-10 21:35:50.358890,34550.358889593335
15924.840224345027,1958-02-10 21:47:34.893578,35254.89357848021
15923.119399759475,1958-02-10 21:57:19.733842,35839.73384169494
15924.194824737238,1958-02-10 22:09:49.153940,36589.153940208875
15914.228648875242,1958-02-10 22:20:12.894892,37212.89489176706
15919.61366488627,1958-02-10 22:31:42.733765,37902.73376505751
15929.27213889728,1958-02-10 22:42:24.162893,38544.16289285392
15932.41976218484,1958-02-10 22:53:06.522977,39186.52297729443
15938.556212904263,1958-02-10 23:05:00.644303,39900.64430305226
15935.575691916833,1958-02-10 23:15:41.064894,40541.064894484196
15944.538345460694,1958-02-10 23:26:46.698895,41206.69889502761
15921.111423702045,1958-02-10 23:37:55.892436,41875.892435680915
15934.880546348295,1958-02-10 23:48:57.966896,42537.96689611448
