Voltage,Time,dT
202.91795791847986,1958-02-11 00:41:24.523267,-11915.47673304127
190.42601622291966,1958-02-11 00:42:20.367651,-11859.632348822517
197.93546402319703,1958-02-11 00:43:27.985905,-11792.014095274644
204.02212690739975,1958-02-11 00:44:35.778999,-11724.22100123741
200.14929537909364,1958-02-11 00:45:44.826336,-11655.173664344331
186.31696943827683,1958-02-11 00:46:55.118201,-11584.881798884997
166.79350383316887,1958-02-11 00:48:06.095535,-11513.904464741943
154.38396280842542,1958-02-11 00:49:16.175191,-11443.824808814255
154.77948602833828,1958-02-11 00:50:24.686330,-11375.313669636047
150.90665450003092,1958-02-11 00:51:33.717657,-11306.282342835244
147.03382297172297,1958-02-11 00:52:42.747725,-11237.252275194982
148.8521311077092,1958-02-11 00:53:51.086293,-11168.91370692643
154.9387939919138,1958-02-11 00:54:58.904468,-11101.095532331603
149.64317754753367,1958-02-11 00:56:08.108926,-11031.891074340623
144.34756110315476,1958-02-11 00:57:17.311029,-10962.688970623274
147.58865415521194,1958-02-11 00:58:25.477344,-10894.52265635443
150.6217836094994,1958-02-11 00:59:32.851898,-10827.148102322575
151.2252704271832,1958-02-11 01:00:42.154033,-10757.845966766432
158.73471822745933,1958-02-11 01:01:49.797000,-10690.203000175488
150.59353195093303,1958-02-11 01:02:59.349701,-10620.650298869305
153.83462500299083,1958-02-11 01:04:07.514316,-10552.485684077676
151.38457839075872,1958-02-11 01:05:16.372218,-10483.627781927904
144.6661770303058,1958-02-11 01:06:25.747581,-10414.252419111803
143.63891533414403,1958-02-11 01:07:34.431405,-10345.568595036375
161.10785754693148,1958-02-11 01:08:40.862771,-10279.13722888884
171.46287517935443,1958-02-11 01:09:48.148646,-10211.851353917413
159.05333415460976,1958-02-11 01:10:58.233167,-10141.76683349175
173.67670653525226,1958-02-11 01:12:04.993997,-10075.006002990047
179.76336941945502,1958-02-11 01:13:12.799487,-10007.200513234586
170.4839552100706,1958-02-11 01:14:22.507002,-9937.492998376913
164.90378178247826,1958-02-11 01:15:31.753337,-9868.246662629332
168.14487483453544,1958-02-11 01:16:39.914058,-9800.085941538799
165.69482822230148,1958-02-11 01:17:48.774904,-9731.225096014976
150.43971736541127,1958-02-11 01:18:59.199934,-9660.800065659263
153.68081041746905,1958-02-11 01:20:07.364591,-9592.635409015953
154.0763336373819,1958-02-11 01:21:15.875754,-9524.124246489979
148.78071719300362,1958-02-11 01:22:25.079828,-9454.920171923231
149.1762404129146,1958-02-11 01:23:33.591153,-9386.408846692511
149.57176363282684,1958-02-11 01:24:42.102465,-9317.89753459491
169.88627567775987,1958-02-11 01:25:48.174646,-9251.825353920207
184.50964805840056,1958-02-11 01:26:54.922178,-9185.077822383162
162.1406126211464,1958-02-11 01:28:06.245864,-9113.754136240908
146.8855017642568,1958-02-11 01:29:16.666342,-9043.33365768372
151.549379732388,1958-02-11 01:30:24.658829,-8975.34117110368
151.9449029522996,1958-02-11 01:31:33.170062,-8906.829937804789
162.29992058472317,1958-02-11 01:32:40.463903,-8839.536097384187
185.46000246180114,1958-02-11 01:33:46.160171,-8773.83982865784
187.27831059778677,1958-02-11 01:34:54.492874,-8705.50712607221
163.48649024445922,1958-02-11 01:36:05.996492,-8634.003507783242
134.00353022684055,1958-02-11 01:37:18.138455,-8561.86154479327
121.59398920209713,1958-02-11 01:38:28.183951,-8491.816049087236
112.03001800949743,1958-02-11 01:39:37.879855,-8422.120145154038
115.27111106155583,1958-02-11 01:40:46.054962,-8353.945037547937
121.3577739457598,1958-02-11 01:41:53.890296,-8286.109703753498
130.29000666210996,1958-02-11 01:43:01.381494,-8218.618505850916
135.58719264307547,1958-02-11 01:44:13.385156,-8146.614844109909
161.54575825469146,1958-02-11 01:45:10.628798,-8089.371201704158
124.36265174148151,1958-02-11 01:46:27.769271,-8012.230729231235
117.64425038102799,1958-02-11 01:47:37.129393,-7942.870607158488
115.19420376879526,1958-02-11 01:48:45.979851,-7874.020148750843
112.74415715656193,1958-02-11 01:49:54.829806,-7805.17019427595
56.22828373355731,1958-02-11 01:51:09.951746,-7730.0482541219035
-42.43498347353134,1958-02-11 01:52:23.611839,-7656.388161302296
-122.31748978845606,1958-02-11 01:53:34.614787,-7585.385213196089
-188.79285762397137,1958-02-11 01:54:49.553623,-7510.446376745896
-259.5365802077051,1958-02-11 01:56:04.494610,-7435.505389720711
-244.91320782706316,1958-02-11 01:57:11.769319,-7368.2306810201235
-137.808815901683,1958-02-11 01:58:10.372173,-7309.627827343737
-979.8997246068886,1958-02-11 01:59:36.310178,-7223.689821583731
-521.6311405581084,1958-02-11 01:59:38.727322,-7221.272677987677
-777.732425451232,1958-02-11 01:59:52.680943,-7207.319057249442
-880.1729394084816,1958-02-11 01:59:56.720671,-7203.279328718442
-650.0921383453287,1958-02-11 01:59:49.271393,-7210.728607388685
-387.11204545256595,1958-02-11 01:59:40.619015,-7219.380985200893
-100.39891135165786,1958-02-11 01:59:19.035827,-7240.964172875255
-229.5636108676397,1958-02-11 01:59:35.518906,-7224.4810936905715
-1076.4183770215654,1958-02-11 02:00:14.093979,-7185.90602091169
-1178.7490234177276,1958-02-11 02:00:29.941918,-7170.058082017884
-1012.2282544566535,1958-02-11 02:00:44.216723,-7155.783276935984
-1363.623168458336,1958-02-11 02:00:37.173971,-7162.826028507268
-1716.4738276444168,1958-02-11 02:00:13.934500,-7186.065500114299
-1605.463643922405,1958-02-11 02:00:28.086043,-7171.91395692348
-1472.2052790803327,1958-02-11 02:00:51.703667,-7148.29633253066
-1908.3849899726304,1958-02-11 02:00:25.472904,-7174.527095839397
-1761.0278703541069,1958-02-11 02:00:55.963127,-7144.036872569589
-1957.9297666446835,1958-02-11 02:01:04.376555,-7135.62344520695
-2057.4148432086995,1958-02-11 02:01:12.963023,-7127.036977408847
-2196.660990129997,1958-02-11 02:01:29.305465,-7110.694534999555
-2294.892639238811,1958-02-11 02:01:42.937739,-7097.0622609909005
-2419.3840413355697,1958-02-11 02:01:47.048387,-7092.951612654834
-1265.8190655789463,1958-02-11 02:03:44.590504,-6975.409496194272
-1368.2595795361958,1958-02-11 02:03:39.761427,-6980.238573058225
-1470.7000934934456,1958-02-11 02:03:34.051367,-6985.948632644631
-1573.1406074506945,1958-02-11 02:03:27.460325,-6992.539674953488
-1129.20974012373,1958-02-11 02:03:53.468400,-6966.531600002224
-1664.165881811035,1958-02-11 02:03:26.577828,-6993.422172491624
