Z,Time,dT
44887.051801699636,1958-02-10 09:41:23.359728,-8316.640271622098
44888.73040301776,1958-02-10 09:51:32.048445,-7707.951554649135
44892.42332591765,1958-02-10 10:04:43.343777,-6916.656222584284
44893.43048670853,1958-02-10 10:15:52.901366,-6247.098633914023
44892.59118604946,1958-02-10 10:27:02.458955,-5577.541045243764
44894.10192723578,1958-02-10 10:38:12.016543,-4907.983456573506
44895.612668422094,1958-02-10 10:49:21.574132,-4238.425867903244
44895.27694815847,1958-02-10 11:00:31.131721,-3568.868279232983
44894.941227894844,1958-02-10 11:11:40.689309,-2899.310690562727
44894.26978736759,1958-02-10 11:22:50.246898,-2229.753101892468
44894.26978736759,1958-02-10 11:33:59.804487,-1560.1955132222054
44892.59118604946,1958-02-10 11:45:09.362075,-890.6379245519462
44892.42332591765,1958-02-10 11:55:33.268010,-266.7319896546604
44891.080444863146,1958-02-10 12:07:28.477253,448.4772527885739
44890.57686446771,1958-02-10 12:18:38.034841,1118.0348414588314
44890.57686446771,1958-02-10 12:29:47.592430,1787.5924301290906
44891.41616512677,1958-02-10 12:40:57.150019,2457.15001879935
44892.42332591765,1958-02-10 12:52:06.707607,3126.7076074696092
44892.42332591765,1958-02-10 13:03:16.265196,3796.2651961398683
44892.42332591765,1958-02-10 13:14:25.822785,4465.8227848101305
44894.10192723578,1958-02-10 13:25:35.380373,5135.38037348039
44896.11624881753,1958-02-10 13:36:44.937962,5804.93796215065
44896.11624881753,1958-02-10 13:47:54.495551,6474.495550820908
44896.11624881753,1958-02-10 13:59:24.342763,7164.342763390265
44897.96271026748,1958-02-10 14:10:13.610728,7813.610728161427
44903.16637435368,1958-02-10 14:21:23.168317,8483.168316831687
44906.69143712175,1958-02-10 14:32:32.725906,9152.725905501944
44909.37719923076,1958-02-10 14:43:42.283494,9822.283494172205
44913.40584239427,1958-02-10 14:54:51.841083,10491.84108284246
44914.58086331696,1958-02-10 15:06:01.398672,11161.398671512727
44917.770205821405,1958-02-10 15:17:10.956260,11830.956260182982
44918.27378621684,1958-02-10 15:26:18.776105,12378.776105458648
44925.156051621176,1958-02-10 15:39:30.071438,13170.0714375235
44928.513254257436,1958-02-10 15:50:39.629026,13839.629026193767
