Var1,Var2,Var3
0,0,0
0.636511966,-4.041016401,0.103854867
-0.559042434,-4.212353003,0.120804824
-0.171955299,-4.755787359,0.003367781
-0.383126644,-4.707262035,0.220285497
-0.434286197,-4.812721417,0.165099434
-0.462962474,-4.848686647,0.17371935
-0.54394253,-4.867863973,0.155206108
-0.539830109,-4.848545586,0.133266309
-0.486022185,-4.743679776,0.11694604
-0.582342076,-4.768637915,0.136001858
-0.543018976,-4.799124727,0.141248537
-0.596653355,-4.845137245,0.128305226
-0.716094745,-4.459263358,0.124800523
-0.630300133,-3.725488965,-0.059596856
-0.508808606,-3.136149327,-0.168568376
-0.425919351,-3.067142462,-0.183409615
-0.452340041,-3.083218086,-0.211421143
-0.507469711,-3.014251591,-0.188456554
-0.475101577,-2.770660404,-0.215547207
-0.461489761,-2.74419811,-0.221009624
-0.501951323,-2.409086668,-0.21676421
-0.490983135,-1.988043583,-0.257842407
-0.352220922,-2.38522089,-0.249719728
-0.425739094,-3.152720723,-0.149423586
-0.64199514,-3.32214633,-0.040832921
-0.678688741,-3.136070164,-0.057298017
-0.65995539,-2.789592514,-0.098556516
-0.62083938,-2.339792184,-0.152048993
-0.616998304,-2.429393601,-0.179976094
-0.658362465,-2.168369547,-0.193281946
-0.710269818,-2.032108287,-0.200657917
-0.663377867,-1.624918832,-0.273268489
-0.613050038,-1.540698112,-0.287549789
-0.582251545,-1.597894558,-0.278327003
-0.614399689,-1.696822247,-0.258861346
-0.652747642,-1.669477167,-0.283591296
-0.663624727,-1.71710552,-0.218519893
-0.649827284,-1.618556253,-0.213141344
-0.695229928,-1.470447854,-0.228231186
-0.699406618,-1.403893724,-0.197680083
-0.613463164,-1.814857086,-0.215557645
-0.770513122,-2.222859579,-0.11258825
-1.024609612,-1.902135963,-0.018381163
-0.97232199,-1.326991467,-0.114506789
-0.940338916,-0.273698746,-0.233883464
-0.884196583,0.770971713,-0.347846707
-0.677068204,1.862067062,-0.541906998
-0.471830817,2.204809219,-0.550518734
-0.474839457,2.562896416,-0.559374644
-0.294654966,3.043761753,-0.644713942
-0.285091747,3.597039051,-0.663884311
-0.188848586,3.621199563,-0.683726161
-0.139544922,3.713099256,-0.657482292
-0.139476994,3.724605161,-0.641364585
-0.122781442,3.713264651,-0.59370312
-0.120437655,3.632170914,-0.552132695
-0.110269815,3.488361327,-0.51243288
-0.117381527,3.19144633,-0.451588142
-0.149304833,2.959065214,-0.40792534
-0.209150245,2.696225451,-0.339396437
-0.22886035,2.411375214,-0.314831586
-0.272950962,2.236676129,-0.279029479
-0.299325718,1.992268902,-0.246668431
-0.344457294,1.758576392,-0.206686064
-0.381037744,1.4890786,-0.201788991
-0.443195326,1.276420682,-0.186504581
-0.476842994,1.049858869,-0.169491761
-0.505623245,0.87908909,-0.170481577
-0.529439288,0.753987986,-0.166505279
-0.541772058,0.645133682,-0.172047792
-0.567251824,0.491568,-0.176114636
-0.591518974,0.367113952,-0.17740694
-0.611058717,0.326401774,-0.191909742
-0.616832564,0.296611723,-0.202813072
-0.621247837,0.242530812,-0.211686927
-0.62568152,0.203243756,-0.222742595
-0.631401278,0.225526591,-0.222273252
-0.602233271,0.159822052,-0.235798529
-0.605375956,-0.09027112,-0.216017248
-0.639898557,-0.455723153,-0.169700472
-0.718636759,-0.853490098,-0.104884878
-0.776357177,-1.167531855,-0.048390851
-0.804216679,-1.524095759,-0.001755315
-0.874838046,-1.792451899,0.038736579
-0.92685187,-1.931548754,0.089202463
-0.961029176,-2.143601264,0.102035322
-0.966728055,-2.551885139,0.103187708
-1.076729797,-2.855305676,0.168488091
-1.130472743,-2.978924274,0.188470676
-1.153139807,-3.049794407,0.190952656
-1.16269629,-2.872405592,0.191524507
-1.116877419,-2.517150961,0.162349923
-1.046538982,-2.345551019,0.129602736
-0.97809882,-2.103391598,0.105384584
-0.932240715,-2.28810127,0.084096243
-0.987421067,-2.929284319,0.139612448
-1.137699548,-3.216291199,0.247014165
-1.275315403,-3.97369896,0.290786642
-1.409177632,-3.884069299,0.377235879
-1.420909165,-3.451332041,0.348690744
-1.268500801,-2.723981677,0.233593854
-1.099178075,-1.851450265,0.062339232
-0.933056344,-1.3132109,-0.054561282
-0.860596418,-1.140188969,-0.089341936
-0.80367977,-0.946363334,-0.14415555
-0.805301975,-0.953203517,-0.128701569
-0.794117609,-1.074942289,-0.102268181
-0.806003882,-1.032216377,-0.100946339
-0.82467354,-1.199493462,-0.076014712
-0.835560746,-1.027182041,-0.062117996
-0.775589286,-0.710279598,-0.089655202
-0.718625205,-0.677615108,-0.142588699
-0.683519797,-0.795812876,-0.125404223
-0.710377186,-1.187460512,-0.122244951
-0.826779093,-1.882300591,-0.041350447
-1.097372589,-3.077630995,0.107560435
-1.222158816,-3.248859027,0.209076575
-1.252896631,-3.325288968,0.194415866
-1.245846638,-3.096893067,0.156068451
-1.16586807,-2.310986822,0.102366599
-1.003717329,-1.681507837,-0.056868334
-0.885241813,-0.844398204,-0.195323
-0.788414684,-0.62755034,-0.282062856
-0.778280221,-0.6820952,-0.259151993
-0.836005808,-0.960411966,-0.167896454
-0.856517989,-1.175645658,-0.101615713
-0.871303925,-1.482981624,-0.100081427
-0.962326774,-1.756883779,-0.022025629
-0.976051397,-1.480728558,0.011178403
-0.900257313,-1.075014107,-0.06117554
-0.807992201,-0.750592241,-0.126266933
-0.711711947,-0.424600999,-0.149859583
-0.65658052,-0.336756819,-0.165100167
-0.620268825,-0.168715767,-0.162010579
-0.656435308,-0.018726142,-0.084570208
-0.574291653,0.529919319,-0.087667123
-0.411887897,0.29754595,-0.229625991
-0.464591274,-0.219883804,-0.099118652
-0.590510652,-0.621204823,0.079569294
-0.656790046,-0.967511585,0.141790313
-0.689162837,-1.118747997,0.178973545
-0.725761098,-1.221109599,0.187980719
-0.716014407,-1.189058071,0.167328532
-0.722393502,-1.119116601,0.160625948
-0.718353145,-1.128499454,0.150742364
-0.703702857,-1.114300004,0.153597578
-0.718991194,-1.124747244,0.160417453
-0.72286514,-1.198927038,0.183673962
