Var1,Var2,Var3
0,0,0
0.865246426,-0.997708601,-0.281892123
-0.061283012,-1.638427148,-0.455211374
0.024386072,-1.724868687,-0.358388884
0.213492879,-1.795423319,-0.414741067
0.16383837,-1.868328951,-0.339294254
0.1348481,-1.831568981,-0.400009265
0.093042932,-1.717167033,-0.336935505
-0.07439986,-1.68850336,-0.455011135
-0.159110846,-1.444170193,-0.433162187
-0.112337777,-1.711328416,-0.378358517
-0.085686494,-1.639133771,-0.372602864
-0.131457646,-1.586575188,-0.436184545
-0.190123185,-1.59638834,-0.363006647
-0.499864902,-1.127908458,-0.422644272
-0.739973878,-0.796635816,-0.401886024
-0.773886646,-0.642662425,-0.377273068
-0.777769564,-0.61347499,-0.42262084
-0.719815027,-0.691195326,-0.350539598
-0.731270916,-0.622023847,-0.355933949
-0.752134961,-0.590070374,-0.323451142
-0.747956091,-0.549457055,-0.290817218
-0.819728322,-0.428571867,-0.246636548
-0.765366678,-0.443230729,-0.245405687
-0.541755005,-0.718006914,-0.26637215
-0.401564021,-0.987872556,-0.26744471
-0.407776072,-0.991793591,-0.2205397
-0.476528324,-0.853785741,-0.192793858
-0.586292531,-0.715156529,-0.152302718
-0.611404263,-0.701723743,-0.175730184
-0.652208666,-0.628794768,-0.17627985
-0.688223437,-0.636967197,-0.169447463
-0.776479482,-0.450746199,-0.131108409
-0.823224642,-0.412775461,-0.130502879
-0.821489719,-0.380463071,-0.164526609
-0.735441581,-0.384814101,-0.189521118
-0.811943733,-0.399318255,-0.215890956
-0.696913513,-0.525270504,-0.181109295
-0.664124962,-0.470653646,-0.162161526
-0.669700163,-0.47549863,-0.149365272
-0.620534443,-0.510336665,-0.110668994
-0.567286982,-0.540053474,-0.149832039
-0.396955825,-0.712733047,-0.189452032
-0.336233861,-0.796958891,-0.16532576
-0.416545199,-0.688109962,-0.071725676
-0.624411741,-0.452017296,0.029356804
-0.864951524,-0.18272625,0.125486313
-1.131376697,0.143583568,0.246662992
-1.210074108,0.271243723,0.311322273
-1.193439194,0.327462287,0.350403921
-1.299533485,0.443193504,0.398795924
-1.320763309,0.498890724,0.504128063
-1.292762761,0.536209842,0.521222153
-1.243505906,0.504278996,0.560579683
-1.140502189,0.453882731,0.601072943
-1.051040124,0.408508209,0.624803546
-0.965050113,0.345689154,0.615571887
-0.881575099,0.293854023,0.61775918
-0.780594015,0.216714819,0.581784879
-0.717534106,0.148711003,0.555620996
-0.595413901,0.045299431,0.52859159
-0.542949301,-0.009168989,0.468050723
-0.49833156,-0.053260061,0.436820548
-0.423870492,-0.124308108,0.415780962
-0.349748439,-0.194829783,0.381136752
-0.286734676,-0.254387486,0.337800805
-0.265285116,-0.28327898,0.273938409
-0.213417969,-0.338755046,0.253540382
-0.208020987,-0.351429828,0.202756491
-0.196816769,-0.382146293,0.182612206
-0.211432775,-0.376884577,0.143139383
-0.207711218,-0.390898333,0.103319531
-0.205441141,-0.390960999,0.076718398
-0.229053904,-0.377147081,0.053871638
-0.236747928,-0.370684531,0.035394339
-0.237728277,-0.370866811,0.020400476
-0.247264282,-0.369978065,0.001486262
-0.247324088,-0.36523577,0.006637312
-0.222588069,-0.370936647,0.008807487
-0.173999888,-0.398726517,-0.018191061
-0.038358424,-0.496082022,-0.055547491
0.113500037,-0.614701779,-0.103030299
0.206731657,-0.687127936,-0.156254456
0.272327802,-0.743814677,-0.211987621
0.379601325,-0.823369684,-0.253090446
0.427539729,-0.863644736,-0.294960519
0.452192759,-0.909893252,-0.322065224
0.505952392,-0.950363068,-0.375658648
0.57528381,-1.024419133,-0.445422282
0.60291159,-1.055730308,-0.474153801
0.589484948,-1.049398132,-0.498555479
0.529036371,-1.006501482,-0.481796951
0.403827149,-0.896686685,-0.447655957
0.342574252,-0.838209571,-0.413583498
0.257816034,-0.757510523,-0.384536843
0.253263212,-0.74720463,-0.400980213
0.411419282,-0.872669361,-0.461003943
0.559413044,-1.01165451,-0.522039611
0.762900483,-1.172858408,-0.620182087
0.807536412,-1.232426569,-0.638455658
0.744684852,-1.180824258,-0.589671616
0.459916012,-0.963809149,-0.51410495
