Var1,Var2,Var3
0,0,0
0.449639648,-2.779457019,0.029394922
-0.867909687,-5.693845797,-0.045895799
-0.455896801,-5.504364178,-0.284894378
-0.436970708,-5.860026374,-0.106071247
-0.602993047,-5.857666882,-0.078771938
-0.709456427,-5.977265802,-0.159041626
-0.8684038,-5.976551795,-0.237522573
-0.949050247,-5.90004049,-0.329914348
-0.97210499,-5.634934444,-0.503870296
-1.191510715,-5.738824889,-0.355181059
-1.164646083,-5.632890445,-0.40767884
-1.28266942,-5.774570765,-0.404978585
-1.614136217,-5.397153931,-0.296918269
-1.907857793,-4.196093748,-0.659455667
-2.009835703,-3.151415104,-0.947846946
-1.926152397,-2.818419739,-1.093516485
-2.000513932,-2.828729268,-1.102578562
-2.097629076,-2.802273061,-0.998212459
-2.163569122,-2.386470568,-1.029201521
-2.183620071,-2.334363276,-1.047238507
-2.316522009,-1.992624867,-0.988814255
-2.460627257,-1.398862432,-1.03105835
-2.204103001,-1.66447682,-1.146172698
-1.955678769,-2.796562376,-0.915345261
-2.121169506,-3.398861489,-0.575303133
-2.271537007,-3.137446287,-0.589394267
-2.322229629,-2.607810268,-0.674598521
-2.492880336,-1.969267938,-0.743806163
-2.554070451,-2.020280173,-0.842303377
-2.672410084,-1.725420464,-0.834473587
-2.815048445,-1.552086911,-0.806751295
-2.936866688,-0.920195467,-0.967672953
-2.964262582,-0.78038101,-1.027205489
-2.854453931,-0.783816313,-1.058043992
-2.849702918,-0.956988078,-0.988017502
-2.913915019,-0.98357877,-1.02038063
-2.892587866,-1.121811446,-0.849360947
-2.880714905,-0.964360756,-0.842131715
-2.996299997,-0.859658404,-0.824999655
-3.02415863,-0.802174631,-0.756299208
-2.854067918,-1.038874365,-0.822675965
-2.775171546,-1.885311746,-0.596953961
-3.115506172,-1.907151291,-0.310286461
-3.422888619,-0.929513374,-0.433542864
-3.877587989,0.331578079,-0.491151843
-4.223557452,1.774551541,-0.669151661
-4.538129772,3.430585742,-0.919520083
-4.525078279,4.078934094,-1.009791658
-4.614765656,4.429192751,-0.972376679
-4.747016151,5.247613261,-1.015304267
-4.942486538,5.690574167,-0.928514864
-4.78079245,5.856307069,-0.987765505
-4.766921276,5.9056372,-0.845450383
-4.763181636,5.841145458,-0.755779987
-4.654596708,5.716768088,-0.644788389
-4.556551162,5.496422259,-0.518680477
-4.406518824,5.289879757,-0.446155233
-4.230047836,4.871936592,-0.339409947
-4.098616244,4.493762453,-0.248069338
-3.949928844,4.051787808,-0.135984609
-3.810123182,3.661495346,-0.100703148
-3.71412093,3.357992032,-0.039839426
-3.613730155,3.017403897,-0.005457241
-3.507293444,2.653866309,0.053414883
-3.412588949,2.315913091,0.076045133
-3.311388437,1.991943287,0.090014777
-3.232625623,1.688892221,0.113344442
-3.156407868,1.464362777,0.113736934
-3.115879575,1.284587209,0.11585407
-3.053620237,1.149111524,0.08229088
-2.986074551,0.93524942,0.063749265
-2.926519744,0.802850017,0.022970998
-2.916254135,0.737349417,-0.004713434
-2.917153551,0.709145629,-0.044353558
-2.896655015,0.652722483,-0.07784293
-2.900078127,0.604960636,-0.117879181
-2.908790282,0.599725527,-0.137970131
-2.869340386,0.562542902,-0.165344036
-2.75434654,0.289042494,-0.180174386
-2.63673607,-0.192862823,-0.110474719
-2.504539671,-0.74596726,-0.001502725
-2.371616815,-1.192086142,0.08127788
-2.250238942,-1.631265431,0.143939091
